EndStation Name,July 5th,August 2nd,July 12th,July 26th,Average Count,July 19th(Heatwave day),Latitude,Longitude
"Bolsover Street, Fitzrovia",68.0,55.0,55.0,56.0,58.5,53.0,51.523518,-0.143613
"Bonner Gate, Victoria Park",63.0,78.0,77.0,54.0,68.0,74.0,51.53341,-0.049591
"Bonny Street, Camden Town",64.0,67.0,64.0,53.0,62.0,71.0,51.541603,-0.138853
"Borough High Street, The Borough",51.0,37.0,66.0,37.0,47.75,37.0,51.500694,-0.094524
"Borough Road, Elephant & Castle",41.0,41.0,36.0,31.0,37.25,28.0,51.498898,-0.10044
"Boston Place, Marylebone",80.0,61.0,66.0,90.0,74.25,54.0,51.522511,-0.162298
"Bourne Street, Belgravia",63.0,39.0,61.0,46.0,52.25,41.0,51.490959,-0.153233
"Bouverie Street, Temple",49.0,50.0,65.0,65.0,57.25,49.0,51.513821,-0.107927
"Bow Church Station, Bow",53.0,93.0,55.0,51.0,63.0,58.0,51.528169,-0.018703
"Bow Road Station, Bow",55.0,59.0,49.0,38.0,50.25,42.0,51.527058,-0.025296
"Braham Street, Aldgate",103.0,126.0,101.0,93.0,105.75,97.0,51.514233,-0.073537
"Bramham Gardens, Earl's Court",75.0,72.0,66.0,64.0,69.25,74.0,51.490163,-0.190393
"Breams Buildings, Holborn",46.0,42.0,43.0,48.0,44.75,41.0,51.515937,-0.111778
"Brick Lane Market, Shoreditch",51.0,58.0,54.0,56.0,54.75,53.0,51.522617,-0.071653
"Bricklayers Arms, Borough",68.0,62.0,73.0,52.0,63.75,82.0,51.495061,-0.085814
"Bridge Avenue, Hammersmith",64.0,58.0,51.0,67.0,60.0,57.0,51.492084,-0.229116
"British Museum, Bloomsbury",80.0,68.0,94.0,62.0,76.0,51.0,51.51908,-0.124678
"Broadcasting House, Marylebone",57.0,56.0,68.0,45.0,56.5,39.0,51.518117,-0.144228
"Broadley Terrace, Marylebone",29.0,26.0,20.0,20.0,23.75,21.0,51.524561,-0.165668
"Broadwick Street, Soho",67.0,79.0,78.0,68.0,73.0,78.0,51.513684,-0.13558
"Bromley High Street, Bow",32.0,35.0,33.0,34.0,33.5,34.0,51.528828,-0.013258
"Brook Green South, Brook Green",41.0,30.0,56.0,31.0,39.5,52.0,51.494347,-0.215804
"Broomhouse Lane, Parsons Green",19.0,23.0,29.0,24.0,23.75,23.0,51.468418,-0.199135
"Brunswick Square, Bloomsbury",49.0,56.0,60.0,49.0,53.5,46.0,51.523951,-0.122502
"Brushfield Street, Liverpool Street",164.0,161.0,170.0,163.0,164.5,145.0,51.518908,-0.079249
"Bruton Street, Mayfair",36.0,43.0,51.0,45.0,43.75,31.0,51.510736,-0.144165
"Buckingham Gate, Westminster",82.0,91.0,57.0,65.0,73.75,52.0,51.498865,-0.137424
"Bunhill Row, Moorgate",103.0,77.0,87.0,77.0,86.0,73.0,51.520858,-0.089887
"Burdett Road, Mile End",58.0,63.0,53.0,63.0,59.25,46.0,51.516196,-0.029138
"Bury Place, Holborn",45.0,46.0,46.0,52.0,47.25,41.0,51.51746,-0.12335
"Butler Place, Westminster",52.0,59.0,59.0,53.0,55.75,41.0,51.497829,-0.13544
"Buxton Street 1, Shoreditch",30.0,16.0,13.0,18.0,19.25,26.0,51.521776,-0.068856
"Cadogan Close, Victoria Park",47.0,50.0,50.0,41.0,47.0,25.0,51.542118,-0.028941
"Cadogan Gardens, Chelsea",92.0,53.0,64.0,61.0,67.5,59.0,51.492462,-0.159919
"Cadogan Place, Knightsbridge",58.0,35.0,62.0,57.0,53.0,48.0,51.494645,-0.158105
"Caldwell Street, Stockwell",50.0,48.0,73.0,52.0,55.75,54.0,51.477839,-0.116493
"Calshot Street , King's Cross",26.0,19.0,13.0,13.0,17.75,12.0,51.53136,-0.117069
"Campden Hill Road, Notting Hill",11.0,15.0,17.0,9.0,13.0,12.0,51.506584,-0.199004
"Canada Water Station, Rotherhithe",56.0,41.0,57.0,45.0,49.75,45.0,51.498439,-0.04915
"Canton Street, Poplar",30.0,15.0,27.0,,24.0,30.0,51.511811,-0.025626
"Cantrell Road, Bow",20.0,17.0,21.0,15.0,18.25,18.0,51.521564,-0.022694
"Carey Street, Holborn",22.0,31.0,28.0,22.0,25.75,16.0,51.51501,-0.112753
"Carnegie Street, King's Cross",25.0,23.0,20.0,20.0,22.0,23.0,51.535467,-0.116191
"Cartwright Gardens , Bloomsbury",36.0,28.0,18.0,44.0,31.5,27.0,51.526357,-0.125979
"Castlehaven Road, Camden Town",69.0,80.0,80.0,64.0,73.25,50.0,51.542138,-0.145393
"Central House, Aldgate",100.0,68.0,75.0,63.0,76.5,49.0,51.515231,-0.07015
"Cephas Street, Bethnal Green",39.0,44.0,41.0,41.0,41.25,42.0,51.522561,-0.054883
"Chadwell Street, Angel",57.0,52.0,47.0,53.0,52.25,42.0,51.530515,-0.106408
"Chancery Lane, Holborn",30.0,35.0,42.0,36.0,35.75,27.0,51.514274,-0.111257
"Chapel Place, Marylebone",87.0,60.0,76.0,75.0,74.5,52.0,51.515308,-0.147203
"Charing Cross Hospital, Hammersmith",30.0,43.0,34.0,26.0,33.25,38.0,51.487285,-0.217995
"Charlbert Street, St. John's Wood",39.0,26.0,29.0,30.0,31.0,32.0,51.5343,-0.168074
"Charles II Street, West End",80.0,67.0,77.0,54.0,69.5,60.0,51.508446,-0.131961
"Charlotte Street, Fitzrovia",46.0,44.0,56.0,51.0,49.25,49.0,51.51953,-0.135777
"Charlotte Terrace, Angel",40.0,30.0,34.0,28.0,33.0,22.0,51.536392,-0.112721
"Cheapside, Bank",184.0,183.0,155.0,144.0,166.5,164.0,51.51397,-0.09294
"Chelsea Bridge, Pimlico",82.0,78.0,61.0,44.0,66.25,48.0,51.485821,-0.149004
"Chelsea Green, Chelsea",43.0,55.0,50.0,51.0,49.75,45.0,51.490664,-0.166485
"Chepstow Villas, Notting Hill",42.0,24.0,24.0,13.0,25.75,23.0,51.512136,-0.201554
"Cheshire Street, Bethnal Green",25.0,27.0,45.0,28.0,31.25,28.0,51.52388,-0.065076
"Chesilton Road, Fulham",45.0,53.0,52.0,39.0,47.25,45.0,51.475698,-0.205876
"Chrisp Street Market, Poplar",27.0,34.0,36.0,22.0,29.75,29.0,51.5112,-0.014438
"Christopher Street, Liverpool Street",59.0,54.0,47.0,61.0,55.25,45.0,51.521283,-0.084605
"City Road, Angel",48.0,27.0,35.0,41.0,37.75,35.0,51.530344,-0.100168
"Clapham Common North Side, Clapham Common",42.0,31.0,36.0,40.0,37.25,18.0,51.461343,-0.159322
"Clapham Common Station, Clapham Common",77.0,89.0,100.0,70.0,84.0,68.0,51.461388,-0.139221
"Clapham Road, Lingham Street, Stockwell",23.0,28.0,22.0,18.0,22.75,29.0,51.471433,-0.12367
"Claremont Square, Angel",24.0,24.0,31.0,24.0,25.75,15.0,51.531666,-0.109914
"Clarence Walk, Stockwell",23.0,20.0,28.0,21.0,23.0,24.0,51.470732,-0.126994
"Clarendon Road, Avondale",22.0,14.0,24.0,18.0,19.5,17.0,51.51323,-0.211593
"Clarges Street, Mayfair",25.0,32.0,28.0,24.0,27.25,24.0,51.507326,-0.145827
"Clarkson Street, Bethnal Green",19.0,24.0,26.0,25.0,23.5,18.0,51.528692,-0.059091
"Claverton Street, Pimlico",61.0,45.0,49.0,41.0,49.0,60.0,51.484839,-0.138089
"Cleaver Street, Kennington",22.0,24.0,29.0,21.0,24.0,24.0,51.488105,-0.110121
"Clerkenwell Green, Clerkenwell",85.0,83.0,92.0,73.0,83.25,54.0,51.52326,-0.104708
"Cleveland Gardens, Bayswater",33.0,19.0,23.0,30.0,26.25,22.0,51.515607,-0.183118
"Cleveland Way, Stepney",98.0,101.0,98.0,117.0,103.5,97.0,51.520893,-0.051394
"Clifford Street, Mayfair",53.0,29.0,41.0,38.0,40.25,42.0,51.510662,-0.142345
"Clifton Road, Maida Vale",36.0,36.0,35.0,41.0,37.0,34.0,51.525575,-0.179592
"Clifton Street, Shoreditch",46.0,36.0,27.0,44.0,38.25,35.0,51.523196,-0.083067
"Clinton Road, Mile End",51.0,40.0,42.0,41.0,43.5,36.0,51.525941,-0.036017
"Cloudesley Road, Angel",28.0,29.0,32.0,23.0,28.0,26.0,51.534408,-0.109025
"Colet Gardens, Hammersmith",4.0,4.0,8.0,8.0,6.0,8.0,51.491093,-0.216493
"Collingham Gardens, Earl's Court",47.0,35.0,43.0,35.0,40.0,42.0,51.491615,-0.186753
"Columbia Road, Shoreditch",57.0,50.0,50.0,48.0,51.25,55.0,51.528187,-0.075375
"Commercial Street, Shoreditch",52.0,43.0,58.0,57.0,52.5,37.0,51.52127,-0.075578
"Concert Hall Approach 1, South Bank",27.0,34.0,35.0,36.0,33.0,16.0,51.505044,-0.115851
"Concert Hall Approach 2, South Bank",42.0,30.0,40.0,44.0,39.0,17.0,51.504942,-0.115533
"Coomer Place, West Kensington",59.0,58.0,59.0,56.0,58.0,51.0,51.48357,-0.202038
"Copper Box Arena, Queen Elizabeth Olympic Park",29.0,32.0,55.0,46.0,40.5,44.0,51.544909,-0.020542
"Coram Street, Bloomsbury",43.0,40.0,33.0,35.0,37.75,27.0,51.524,-0.126409
"Cotton Garden Estate, Kennington",25.0,23.0,35.0,23.0,26.5,32.0,51.490757,-0.106323
"Courland Grove, Wandsworth Road",55.0,51.0,48.0,35.0,47.25,33.0,51.472918,-0.132102
"Crabtree Lane, Fulham",24.0,25.0,36.0,23.0,27.0,29.0,51.482944,-0.219346
"Craven Street, Strand",129.0,144.0,147.0,134.0,138.5,101.0,51.508103,-0.126021
"Crawford Street, Marylebone",65.0,75.0,59.0,56.0,63.75,69.0,51.52026,-0.157183
"Crinan Street, King's Cross",37.0,25.0,26.0,30.0,29.5,17.0,51.534474,-0.122203
