StartStation Name,July 5th,August 2nd,July 12th,July 26th,Average Count,July 19th(Heatwave day),Latitude,Longitude
"Braham Street, Aldgate",103.0,129.0,99.0,92.0,105.75,102.0,51.514233,-0.073537
"Bramham Gardens, Earl's Court",78.0,78.0,63.0,66.0,71.25,69.0,51.490163,-0.190393
"Breams Buildings, Holborn",48.0,42.0,42.0,40.0,43.0,35.0,51.515937,-0.111778
"Brick Lane Market, Shoreditch",56.0,63.0,56.0,45.0,55.0,57.0,51.522617,-0.071653
"Bricklayers Arms, Borough",67.0,64.0,75.0,57.0,65.75,64.0,51.495061,-0.085814
"Bridge Avenue, Hammersmith",65.0,64.0,50.0,70.0,62.25,48.0,51.492084,-0.229116
"British Museum, Bloomsbury",67.0,68.0,94.0,62.0,72.75,51.0,51.51908,-0.124678
"Broadcasting House, Marylebone",68.0,55.0,64.0,44.0,57.75,39.0,51.518117,-0.144228
"Broadley Terrace, Marylebone",37.0,30.0,20.0,23.0,27.5,22.0,51.524561,-0.165668
"Broadwick Street, Soho",67.0,71.0,62.0,57.0,64.25,66.0,51.513684,-0.13558
"Bromley High Street, Bow",37.0,34.0,37.0,25.0,33.25,32.0,51.528828,-0.013258
"Brook Green South, Brook Green",40.0,31.0,46.0,35.0,38.0,34.0,51.494347,-0.215804
"Broomhouse Lane, Parsons Green",29.0,23.0,32.0,20.0,26.0,20.0,51.468418,-0.199135
"Brunswick Square, Bloomsbury",52.0,69.0,60.0,66.0,61.75,47.0,51.523951,-0.122502
"Brushfield Street, Liverpool Street",145.0,136.0,147.0,133.0,140.25,136.0,51.518908,-0.079249
"Bruton Street, Mayfair",35.0,45.0,51.0,44.0,43.75,31.0,51.510736,-0.144165
"Buckingham Gate, Westminster",77.0,89.0,56.0,72.0,73.5,42.0,51.498865,-0.137424
"Bunhill Row, Moorgate",89.0,66.0,72.0,67.0,73.5,58.0,51.520858,-0.089887
"Burdett Road, Mile End",56.0,64.0,53.0,57.0,57.5,49.0,51.516196,-0.029138
"Bury Place, Holborn",44.0,47.0,46.0,41.0,44.5,39.0,51.51746,-0.12335
"Butler Place, Westminster",50.0,46.0,63.0,57.0,54.0,42.0,51.497829,-0.13544
