StartStation Name,July 5th,August 2nd,July 12th,July 26th,Average Count,July 19th(Heatwave day),Latitude,Longitude
"Queen's Gate (North), Kensington",50.0,67.0,67.0,59.0,60.75,66.0,51.501026,-0.180246
"Queen's Gate (South), South Kensington",71.0,59.0,80.0,51.0,65.25,50.0,51.492479,-0.178433
"Queen's Gate, Kensington Gardens",125.0,113.0,98.0,149.0,121.25,75.0,51.501715,-0.179854
"Queensbridge Road, Haggerston",16.0,39.0,23.0,31.0,27.25,24.0,51.53385,-0.06992
"Queensdale Road, Shepherd's Bush",22.0,17.0,27.0,17.0,20.75,18.0,51.50659,-0.216104
"Queensway, Kensington Gardens",167.0,131.0,69.0,86.0,113.25,78.0,51.51031,-0.187402
"Rainville Road, Hammersmith",33.0,33.0,22.0,26.0,28.5,23.0,51.483732,-0.223852
"Ram Street, Wandsworth",52.0,57.0,71.0,49.0,57.25,43.0,51.457529,-0.192165
"Rampayne Street, Pimlico",75.0,64.0,79.0,61.0,69.75,83.0,51.489975,-0.132845
"Ranelagh Gardens, Fulham",35.0,21.0,22.0,29.0,26.75,25.0,51.467601,-0.206827
"Rathbone Street, Fitzrovia",40.0,45.0,36.0,44.0,41.25,34.0,51.518162,-0.135025
"Ravenscourt Park Station, Hammersmith",48.0,50.0,42.0,46.0,46.5,45.0,51.494223,-0.236769
"Reardon Street, Wapping",37.0,54.0,46.0,29.0,41.5,35.0,51.506946,-0.058681
"Rectory Square, Stepney",27.0,29.0,31.0,22.0,27.25,31.0,51.518369,-0.043371
"Red Lion Square, Holborn",38.0,36.0,34.0,45.0,38.25,38.0,51.519435,-0.119123
"Red Lion Street, Holborn",87.0,97.0,74.0,57.0,78.75,56.0,51.51824,-0.11655
"Regency Street, Westminster",49.0,55.0,40.0,51.0,48.75,29.0,51.49206,-0.132224
"Richmond Way, Shepherd's Bush",39.0,37.0,53.0,45.0,43.5,34.0,51.500353,-0.217515
"Rifle Place, Avondale",14.0,13.0,17.0,16.0,15.0,28.0,51.509224,-0.216016
"Risinghill Street, Angel",36.0,16.0,20.0,16.0,22.0,13.0,51.533319,-0.111781
"River Street , Clerkenwell",29.0,32.0,29.0,26.0,29.0,22.0,51.529163,-0.10997
"Riverlight North, Nine Elms",59.0,71.0,69.0,84.0,70.75,81.0,51.482362,-0.136123
"Riverlight South, Nine Elms",64.0,61.0,66.0,58.0,62.25,42.0,51.481335,-0.138212
"Rochester Row, Westminster",35.0,44.0,55.0,21.0,38.75,39.0,51.495827,-0.135478
"Rodney Road , Walworth",48.0,46.0,49.0,45.0,47.0,39.0,51.491484,-0.09022
"Roscoe Street, St. Luke's",48.0,25.0,43.0,41.0,39.25,51.0,51.522954,-0.094934
"Rotherhithe Roundabout, Rotherhithe",28.0,42.0,32.0,34.0,34.0,32.0,51.499169,-0.055846
"Royal Avenue 1, Chelsea",35.0,31.0,34.0,26.0,31.5,25.0,51.489932,-0.162727
"Royal Avenue 2, Chelsea",64.0,57.0,47.0,41.0,52.25,55.0,51.490083,-0.162418
"Royal College Street, Camden Town",37.0,23.0,49.0,22.0,32.75,30.0,51.536264,-0.133952
"Royal London Hospital, Whitechapel",95.0,122.0,108.0,98.0,105.75,87.0,51.518675,-0.06111
"Russell Gardens, Olympia",18.0,26.0,22.0,18.0,21.0,21.0,51.500088,-0.211316
"Russell Square Station, Bloomsbury",79.0,65.0,74.0,65.0,70.75,54.0,51.523418,-0.124121
"Sackville Street, Mayfair",55.0,56.0,69.0,52.0,58.0,56.0,51.510048,-0.138846
"Sadlers Sports Centre, Finsbury",62.0,51.0,63.0,45.0,55.25,47.0,51.524868,-0.099489
"Sail Street, Vauxhall",27.0,33.0,32.0,17.0,27.25,28.0,51.495656,-0.114605
"Salmon Lane, Limehouse",53.0,40.0,56.0,49.0,49.5,43.0,51.514115,-0.033828
"Saltoun Road, Brixton",54.0,41.0,27.0,54.0,44.0,30.0,51.460232,-0.115375
"Sancroft Street, Vauxhall",23.0,33.0,24.0,27.0,26.75,30.0,51.489479,-0.115156
"Sandilands Road, Walham Green",57.0,45.0,37.0,43.0,45.5,45.0,51.473611,-0.191803
"Santos Road, Wandsworth",8.0,8.0,8.0,9.0,8.25,6.0,51.457059,-0.200806
"Sardinia Street, Holborn",35.0,28.0,44.0,37.0,36.0,35.0,51.515208,-0.117863
"Saunders Ness Road, Cubitt Town",36.0,23.0,16.0,45.0,30.0,15.0,51.487129,-0.009001
"Scala Street, Fitzrovia",48.0,46.0,47.0,49.0,47.5,39.0,51.519914,-0.136039
"Sea Containers, South Bank",91.0,104.0,83.0,81.0,89.75,82.0,51.508033,-0.106823
"Sedding Street, Sloane Square",114.0,88.0,91.0,65.0,89.5,87.0,51.49313,-0.156876
"Selby Street, Whitechapel",42.0,47.0,29.0,44.0,40.5,29.0,51.521905,-0.063386
"Serpentine Car Park, Hyde Park",178.0,202.0,211.0,162.0,188.25,83.0,51.505014,-0.17306
"Seville Street, Knightsbridge",88.0,60.0,,37.0,61.666666666666664,97.0,51.501855,-0.159237
"Seymour Place, Marylebone",31.0,52.0,43.0,30.0,39.0,40.0,51.520331,-0.163667
"Shadwell Station, Shadwell",36.0,69.0,53.0,47.0,51.25,50.0,51.511088,-0.057159
"Sheepcote Lane, Battersea",32.0,37.0,47.0,27.0,35.75,21.0,51.470538,-0.163041
"Shepherd's Bush Road North, Shepherd's Bush",38.0,39.0,44.0,34.0,38.75,51.0,51.501594,-0.222293
"Shoreditch Court, Haggerston",35.0,43.0,48.0,30.0,39.0,26.0,51.539083,-0.070329
"Shoreditch High Street, Shoreditch",98.0,127.0,115.0,95.0,108.75,73.0,51.526377,-0.07813
"Shoreditch Park, Hoxton",51.0,57.0,54.0,52.0,53.5,62.0,51.534042,-0.086379
"Shouldham Street, Marylebone",50.0,42.0,58.0,43.0,48.25,32.0,51.51809,-0.163609
"Sidney Road, Stockwell",25.0,32.0,29.0,27.0,28.25,32.0,51.469202,-0.119022
"Silverthorne Road, Battersea",35.0,42.0,35.0,26.0,34.5,32.0,51.472865,-0.148059
"Simpson Street, Clapham Junction",62.0,61.0,59.0,67.0,62.25,57.0,51.470847,-0.170703
"Sirdar Road, Avondale",11.0,9.0,13.0,11.0,11.0,19.0,51.510928,-0.214594
"Sloane Avenue, Knightsbridge",90.0,86.0,101.0,94.0,92.75,87.0,51.493184,-0.167894
"Smith Square, Westminster",58.0,40.0,52.0,42.0,48.0,55.0,51.495805,-0.127575
"Smugglers Way, Wandsworth",21.0,30.0,36.0,31.0,29.5,22.0,51.461083,-0.191722
"Snow Hill, Farringdon",47.0,49.0,44.0,38.0,44.5,41.0,51.517334,-0.103604
"Snowsfields, London Bridge",62.0,76.0,69.0,75.0,70.5,70.0,51.502153,-0.083632
"Soho Square , Soho",165.0,160.0,149.0,147.0,155.25,88.0,51.515631,-0.132328
"Somerset House, Strand",77.0,106.0,72.0,88.0,85.75,80.0,51.509943,-0.117619
"Sopwith Way, Battersea Park",86.0,84.0,73.0,52.0,73.75,53.0,51.481121,-0.149035
"South Audley Street, Mayfair",32.0,19.0,24.0,27.0,25.5,24.0,51.50923,-0.151289
"South Kensington Station, South Kensington",109.0,97.0,103.0,100.0,102.25,104.0,51.494412,-0.173881
"South Lambeth Road, Vauxhall",67.0,47.0,60.0,66.0,60.0,58.0,51.481747,-0.124642
"South Parade, Chelsea",39.0,44.0,44.0,34.0,40.25,33.0,51.48902,-0.17524
"South Park, Sands End",42.0,33.0,37.0,45.0,39.25,20.0,51.467064,-0.193502
"South Quay East, Canary Wharf",8.0,17.0,9.0,12.0,11.5,6.0,51.50196,-0.016251
"South Wharf Road, Paddington",72.0,84.0,82.0,67.0,76.25,55.0,51.517335,-0.17581
"Southampton Place, Holborn",44.0,59.0,56.0,41.0,50.0,47.0,51.517606,-0.121328
"Southampton Street, Strand",42.0,87.0,78.0,67.0,68.5,39.0,51.510701,-0.121723
"Southern Grove, Bow",19.0,30.0,32.0,32.0,28.25,30.0,51.523538,-0.030556
"Southerton Road, Hammersmith",46.0,39.0,40.0,34.0,39.75,36.0,51.494499,-0.228188
"Southwark Station 1, Southwark",67.0,66.0,73.0,58.0,66.0,35.0,51.504043,-0.105312
"Southwark Station 2, Southwark",34.0,42.0,40.0,42.0,39.5,27.0,51.504044,-0.104778
"Southwark Street, Bankside",34.0,35.0,43.0,35.0,36.75,29.0,51.505409,-0.098341
"Southwick Street, Paddington",39.0,30.0,30.0,29.0,32.0,33.0,51.515953,-0.169249
"Spanish Road, Clapham Junction",17.0,9.0,10.0,9.0,11.25,15.0,51.459225,-0.180884
"Spencer Park, Wandsworth Common",12.0,13.0,10.0,10.0,11.25,12.0,51.45787,-0.174691
"Spindrift Avenue, Millwall",18.0,16.0,21.0,12.0,16.75,12.0,51.49109,-0.018716
"St John's Crescent, Brixton",10.0,25.0,19.0,23.0,19.25,21.0,51.466232,-0.113179
"St Martins Close, Camden Town",23.0,15.0,16.0,21.0,18.75,14.0,51.538792,-0.138535
"St Mary's Hospital, Paddington",90.0,96.0,94.0,86.0,91.5,53.0,51.518268,-0.171103
"St. Bride Street, Holborn",70.0,34.0,71.0,52.0,56.75,40.0,51.515059,-0.105344
"St. Chad's Street, King's Cross",27.0,36.0,27.0,26.0,29.0,29.0,51.530059,-0.120973
"St. George Street, Mayfair",63.0,43.0,53.0,49.0,52.0,53.0,51.51196,-0.142783
"St. George's Square, Pimlico",63.0,57.0,64.0,43.0,56.75,2.0,51.488226,-0.135635
"St. James's Square, St. James's",191.0,134.0,182.0,141.0,162.0,110.0,51.507424,-0.134621
"St. John Street, Finsbury",20.0,32.0,27.0,23.0,25.5,19.0,51.52836,-0.104724
"St. John's Park, Cubitt Town",15.0,13.0,13.0,13.0,13.5,16.0,51.496454,-0.009506
"St. John's Road, Clapham Junction",46.0,53.0,52.0,50.0,50.25,38.0,51.462392,-0.168292
"St. John's Wood Church, The Regent's Park",35.0,57.0,23.0,50.0,41.25,35.0,51.530529,-0.167515
"St. John's Wood Road, St. John's Wood",35.0,36.0,35.0,60.0,41.5,37.0,51.527294,-0.174653
"St. Katharine's Way, Tower",52.0,60.0,49.0,41.0,50.5,33.0,51.505697,-0.070542
"St. Luke's Church, Chelsea",59.0,40.0,53.0,56.0,52.0,43.0,51.489716,-0.170194
"St. Mark's Road, North Kensington",28.0,27.0,33.0,35.0,30.75,38.0,51.51687,-0.213872
"St. Martin's Street, West End",42.0,55.0,42.0,40.0,44.75,43.0,51.509087,-0.129697
"St. Mary & St. Michael Church, Stepney",14.0,13.0,13.0,15.0,13.75,24.0,51.51417,-0.052099
"St. Mary Axe, Aldgate",64.0,45.0,52.0,40.0,50.25,53.0,51.514225,-0.08066
"St. Peter's Terrace, Fulham",43.0,48.0,39.0,45.0,43.75,33.0,51.478939,-0.208485
"Stamford Street, South Bank",45.0,51.0,52.0,52.0,50.0,45.0,51.505569,-0.111606
"Stanhope Gate, Mayfair",42.0,27.0,26.0,39.0,33.5,32.0,51.506864,-0.150666
"Stanley Grove, Battersea",31.0,20.0,22.0,26.0,24.75,27.0,51.470475,-0.15213
"Star Road, West Kensington",43.0,31.0,39.0,31.0,36.0,29.0,51.487244,-0.205279
"Stebondale Street, Cubitt Town",13.0,8.0,29.0,8.0,14.5,20.0,51.489096,-0.009205
"Stephendale Road, Sands End",59.0,60.0,78.0,57.0,63.5,60.0,51.46822,-0.190346
"Stepney Green Station, Stepney",66.0,69.0,79.0,63.0,69.25,72.0,51.521889,-0.04667
"Stewart's Road, Wandsworth Road",25.0,21.0,32.0,16.0,23.5,21.0,51.473116,-0.137235
"Store Street, Bloomsbury",79.0,65.0,65.0,63.0,68.0,42.0,51.519572,-0.13214
"Strand, Strand",69.0,51.0,65.0,65.0,62.5,54.0,51.512582,-0.115057
"Strata, Elephant & Castle",108.0,95.0,115.0,102.0,105.0,96.0,51.493146,-0.099828
"Stratford Station, Stratford",44.0,74.0,50.0,57.0,56.25,36.0,51.541793,-0.00481
"Sugden Road, Clapham",39.0,30.0,36.0,30.0,33.75,35.0,51.465123,-0.157788
"Sumner Place, South Kensington",45.0,45.0,38.0,36.0,41.0,31.0,51.491211,-0.173715
"Sun Street, Liverpool Street",65.0,56.0,64.0,57.0,60.5,54.0,51.520009,-0.083935
"Surrey Lane, Battersea",46.0,43.0,38.0,50.0,44.25,36.0,51.47518,-0.16716
"Sutton Street, Shadwell",88.0,72.0,86.0,69.0,78.75,60.0,51.511066,-0.053558
"Swan Street, The Borough",48.0,50.0,42.0,31.0,42.75,34.0,51.500296,-0.092762
"Tachbrook Street, Victoria",51.0,49.0,58.0,39.0,49.25,39.0,51.492111,-0.138364
"Tallis Street, Temple",57.0,46.0,39.0,54.0,49.0,31.0,51.511891,-0.107349
"Tanner Street, Bermondsey",59.0,60.0,52.0,64.0,58.75,62.0,51.500647,-0.0786
"Tate Modern, Bankside",61.0,58.0,83.0,50.0,63.0,41.0,51.506725,-0.098807
"Tavistock Place, Bloomsbury",50.0,31.0,48.0,45.0,43.5,39.0,51.52625,-0.123509
"Tavistock Street, Covent Garden",93.0,98.0,59.0,85.0,83.75,69.0,51.511968,-0.120718
"Taviton Street, Bloomsbury",56.0,62.0,78.0,43.0,59.75,43.0,51.52505,-0.131161
"Temple Gardens, Temple",86.0,88.0,74.0,86.0,83.5,63.0,51.510981,-0.108322
"Teversham Lane, Stockwell",19.0,31.0,30.0,28.0,27.0,27.0,51.476149,-0.123258
"Teviot Street, Poplar",4.0,6.0,13.0,6.0,7.25,11.0,51.518811,-0.011662
"The Guildhall, Guildhall",32.0,37.0,27.0,29.0,31.25,26.0,51.515735,-0.09308
"The Metropolitan, Portobello",47.0,25.0,37.0,35.0,36.0,37.0,51.520509,-0.200804
"The Tennis Courts, The Regent's Park",49.0,62.0,50.0,76.0,59.25,45.0,51.525367,-0.153463
"The Vale, Chelsea",68.0,56.0,58.0,71.0,63.25,69.0,51.485121,-0.174971
"Theobald's Road , Holborn",71.0,61.0,61.0,58.0,62.75,62.0,51.520596,-0.116688
"Thorndike Close, West Chelsea",44.0,18.0,30.0,33.0,31.25,37.0,51.480898,-0.183853
"Timber Lodge, Queen Elizabeth Olympic Park",32.0,64.0,39.0,73.0,52.0,59.0,51.546805,-0.014691
"Tooley Street, Bermondsey",167.0,83.0,194.0,127.0,142.75,147.0,51.503493,-0.07962
"Torrens Street, Angel",44.0,30.0,25.0,45.0,36.0,24.0,51.532199,-0.10548
"Tower Gardens , Tower",74.0,82.0,186.0,116.0,114.5,108.0,51.509506,-0.075459
"Tower Wharf, Bermondsey",52.0,56.0,64.0,43.0,53.75,47.0,51.500845,-0.074704
"Trebovir Road, Earl's Court",37.0,50.0,49.0,35.0,42.75,49.0,51.490853,-0.19617
"Triangle Car Park, Hyde Park",168.0,209.0,193.0,180.0,187.5,102.0,51.506451,-0.170279
"Turquoise Island, Notting Hill",59.0,66.0,49.0,36.0,52.5,55.0,51.514311,-0.200838
"Twig Folly Bridge, Mile End",63.0,58.0,66.0,54.0,60.25,50.0,51.530326,-0.042744
"Tyers Gate, Bermondsey",52.0,43.0,40.0,30.0,41.25,45.0,51.500889,-0.083159
"Tysoe Street, Clerkenwell",59.0,89.0,61.0,78.0,71.75,71.0,51.526443,-0.109256
"Union Grove, Wandsworth Road",34.0,40.0,49.0,37.0,40.0,41.0,51.472993,-0.133972
"Union Street, The Borough",49.0,48.0,40.0,51.0,47.0,37.0,51.503688,-0.098497
"Upcerne Road, West Chelsea",55.0,50.0,50.0,45.0,50.0,34.0,51.478169,-0.182435
"Upper Bank Street, Canary Wharf",68.0,64.0,87.0,75.0,73.5,42.0,51.503083,-0.017676
"Upper Grosvenor Street, Mayfair",37.0,21.0,23.0,20.0,25.25,33.0,51.51013,-0.155757
"Upper Richmond Road, Putney",26.0,18.0,17.0,21.0,20.5,12.0,51.459715,-0.212145
"Usk Road, Clapham Junction",38.0,29.0,41.0,42.0,37.5,45.0,51.463489,-0.182126
"Vauxhall Bridge , Pimlico",53.0,34.0,31.0,21.0,34.75,25.0,51.488365,-0.129361
"Vauxhall Cross, Vauxhall",118.0,142.0,111.0,111.0,120.5,126.0,51.485917,-0.124469
"Vauxhall Street, Vauxhall",46.0,43.0,56.0,54.0,49.75,51.0,51.486965,-0.116625
"Vauxhall Walk, Vauxhall",26.0,38.0,35.0,27.0,31.5,31.0,51.488124,-0.120903
"Vereker Road, West Kensington",51.0,48.0,43.0,40.0,45.5,47.0,51.489591,-0.209378
"Vicarage Crescent, Battersea",48.0,57.0,71.0,55.0,57.75,48.0,51.472876,-0.176267
"Vicarage Gate, Kensington",34.0,16.0,23.0,11.0,21.0,26.0,51.504723,-0.192538
"Victoria & Albert Museum, South Kensington",31.0,29.0,42.0,27.0,32.25,19.0,51.495898,-0.173009
"Victoria Park Road, Hackney Central",60.0,53.0,56.0,61.0,57.5,33.0,51.536424,-0.054162
"Victoria Rise, Clapham Common",41.0,40.0,54.0,45.0,45.0,50.0,51.461376,-0.147804
"Victory Place, Walworth",35.0,32.0,32.0,31.0,32.5,30.0,51.492807,-0.091938
"Vincent Square, Westminster",35.0,30.0,35.0,30.0,32.5,25.0,51.493985,-0.136928
"Vincent Street, Pimlico",47.0,42.0,46.0,44.0,44.75,38.0,51.493072,-0.129925
"Walmer Road, Avondale",13.0,17.0,20.0,18.0,17.0,21.0,51.510101,-0.211358
"Walnut Tree Walk, Vauxhall",49.0,45.0,45.0,40.0,44.75,41.0,51.493686,-0.111014
"Walworth Square, Walworth",63.0,62.0,51.0,59.0,58.75,32.0,51.491327,-0.096518
"Wandsworth Rd, Isley Court, Wandsworth Road",39.0,37.0,37.0,27.0,35.0,40.0,51.469259,-0.141812
"Wandsworth Town Station, Wandsworth",47.0,41.0,48.0,40.0,44.0,28.0,51.460864,-0.187427
"Wapping High Street, Wapping",37.0,35.0,40.0,35.0,36.75,29.0,51.504904,-0.06797
"Wapping Lane, Wapping",64.0,64.0,63.0,53.0,61.0,50.0,51.504749,-0.057544
"Wardour Street, Soho",106.0,98.0,101.0,95.0,100.0,95.0,51.512515,-0.133201
"Warren Street Station, Euston",123.0,107.0,107.0,110.0,111.75,102.0,51.524438,-0.138019
"Warwick Avenue Station, Maida Vale",59.0,74.0,70.0,53.0,64.0,42.0,51.523344,-0.183846
"Warwick Road, Olympia",75.0,70.0,72.0,61.0,69.5,77.0,51.496712,-0.205284
"Warwick Row, Westminster",101.0,100.0,112.0,104.0,104.25,101.0,51.497998,-0.14296
"Warwick Square, Pimlico",52.0,51.0,49.0,44.0,49.0,53.0,51.489856,-0.141923
"Waterloo Bridge, South Bank",27.0,35.0,20.0,42.0,31.0,25.0,51.505354,-0.113656
"Waterloo Place, St. James's",40.0,81.0,32.0,54.0,51.75,30.0,51.506633,-0.131773
"Waterloo Road, South Bank",41.0,39.0,30.0,34.0,36.0,33.0,51.50486,-0.113001
"Waterloo Station 1, Waterloo",270.0,228.0,301.0,242.0,260.25,114.0,51.504027,-0.113864
"Waterloo Station 2, Waterloo",158.0,137.0,147.0,88.0,132.5,66.0,51.503919,-0.113426
"Waterloo Station 3, Waterloo",298.0,225.0,203.0,204.0,232.5,161.0,51.503791,-0.112824
"Watney Market, Stepney",48.0,34.0,44.0,38.0,41.0,46.0,51.514222,-0.055656
"Watney Street, Shadwell",65.0,60.0,44.0,45.0,53.5,61.0,51.511542,-0.056667
"Webber Street , Southwark",53.0,59.0,51.0,63.0,56.5,38.0,51.500693,-0.102091
"Wellington Arch, Hyde Park",186.0,226.0,173.0,162.0,186.75,153.0,51.50274,-0.149569
"Wellington Road, St. John's Wood",35.0,47.0,43.0,35.0,40.0,40.0,51.533043,-0.172528
"Wellington Row, Bethnal Green",35.0,35.0,51.0,43.0,41.0,59.0,51.528222,-0.069743
"Wellington Street , Strand",89.0,100.0,81.0,92.0,90.5,75.0,51.511756,-0.119643
"Wells Street, Fitzrovia",90.0,80.0,94.0,85.0,87.25,72.0,51.517344,-0.138072
"Wendon Street, Old Ford",24.0,31.0,32.0,40.0,31.75,29.0,51.536039,-0.026262
"Wenlock Road , Hoxton",69.0,64.0,67.0,65.0,66.25,74.0,51.530991,-0.093903
"West Cromwell Road, Earl's Court",39.0,43.0,30.0,44.0,39.0,44.0,51.493724,-0.198286
"West Kensington Station, West Kensington",44.0,32.0,37.0,38.0,37.75,31.0,51.49087,-0.206029
"West Smithfield Rotunda, Farringdon",60.0,76.0,84.0,67.0,71.75,60.0,51.518218,-0.100791
"Westbourne Grove, Bayswater",44.0,44.0,49.0,61.0,49.5,44.0,51.515529,-0.19024
"Westbourne Park Road, Portobello",30.0,35.0,40.0,29.0,33.5,19.0,51.51787,-0.201005
"Westbridge Road, Battersea",89.0,79.0,87.0,74.0,82.25,63.0,51.477684,-0.170329
"Westferry Circus, Canary Wharf",61.0,72.0,55.0,68.0,64.0,95.0,51.505703,-0.027772
"Westferry DLR, Limehouse",62.0,73.0,66.0,71.0,68.0,57.0,51.509303,-0.025996
"Westfield Ariel Way, White City",66.0,70.0,77.0,63.0,69.0,74.0,51.509158,-0.224103
"Westfield Southern Terrace ,Shepherd's Bush",23.0,39.0,28.0,34.0,31.0,38.0,51.506256,-0.218337
"Westminster Bridge Road, Elephant & Castle",14.0,6.0,12.0,5.0,9.25,8.0,51.498386,-0.107913
"Westminster Pier, Westminster",191.0,112.0,137.0,167.0,151.75,132.0,51.501513,-0.123823
"Westminster University, Marylebone",36.0,32.0,51.0,39.0,39.5,27.0,51.522481,-0.154907
"Whiston Road, Haggerston",26.0,21.0,43.0,39.0,32.25,27.0,51.534464,-0.076341
"Whitehall Place, Strand",139.0,165.0,168.0,131.0,150.75,109.0,51.506543,-0.123179
"William IV Street, Strand",111.0,112.0,92.0,109.0,106.0,62.0,51.509462,-0.124749
"William Morris Way, Sands End",48.0,38.0,44.0,37.0,41.75,34.0,51.468819,-0.184318
"Windsor Terrace, Hoxton",43.0,42.0,38.0,56.0,44.75,15.0,51.529154,-0.093421
"Wood Street, Guildhall",42.0,26.0,27.0,21.0,29.0,30.0,51.517008,-0.093885
"Woodstock Grove, Shepherd's Bush",68.0,68.0,61.0,67.0,66.0,48.0,51.504038,-0.2174
"Woodstock Street, Mayfair",41.0,35.0,53.0,44.0,43.25,40.0,51.514105,-0.147301
"World's End Place, West Chelsea",62.0,67.0,63.0,58.0,62.5,51.0,51.481805,-0.180274
"Wormwood Street, Liverpool Street",216.0,220.0,229.0,208.0,218.25,158.0,51.516154,-0.082422
"Worship Street, Shoreditch",55.0,67.0,62.0,64.0,62.0,67.0,51.521668,-0.079608
"Wren Street, Holborn",37.0,32.0,45.0,38.0,38.0,22.0,51.524564,-0.116279
"Wright's Lane, Kensington",77.0,90.0,89.0,66.0,80.5,66.0,51.500397,-0.193068
"Wynne Road, Stockwell",21.0,22.0,17.0,21.0,20.25,19.0,51.469217,-0.112686
"York Hall, Bethnal Green",47.0,55.0,56.0,41.0,49.75,52.0,51.528936,-0.055894
"York Way, Kings Cross",60.0,55.0,40.0,36.0,47.75,34.0,51.541596,-0.125441
"Gower Place , Euston",,21.0,,27.0,24.0,,51.525227,-0.135188
"Pennington Street, Wapping",,27.0,7.0,16.0,16.666666666666668,15.0,51.508622,-0.065006
"Portugal Street, Holborn",,15.0,,4.0,9.5,12.0,51.514943,-0.116146
"Stonecutter Street, Holborn",,31.0,,14.0,22.5,15.0,51.515809,-0.10527
