StartStation Name,July 5th,August 2nd,July 12th,July 26th,Average Count,July 19th(Heatwave day),Latitude,Longitude,geometry,index_right,NAME,DISTRICT,New Code,Borough,Population and Age; All ages; 2013,Population and Age; Median age; 2013,House Prices; Median House Price; 2014,Household Income; Mean Modelled Household income (); 2012/13,Employment; Economic Activity (Percentages) - 2011 Census; Economically active: % In employment,Road Casualties; Total Casualties; 2014,Land Use; % Greenspace; 2005,Land Use; % Road; 2005,Land Use; % Water; 2005
"Finsbury Square , Moorgate",58.0,70.0,47.0,54.0,57.25,48.0,51.520962,-0.085634,POINT (-0.085634 51.520962),231,Bunhill,Islington,E05000367,Islington,15800.0,29.0,640000.0,54080.0,88.73364664,122.0,12.04017622,25.7945501,0.0
"Macclesfield Rd, St Lukes",77.0,62.0,80.0,69.0,72.0,83.0,51.529423,-0.097122,POINT (-0.097122 51.529423),231,Bunhill,Islington,E05000367,Islington,15800.0,29.0,640000.0,54080.0,88.73364664,122.0,12.04017622,25.7945501,0.0
"Old Street Station, St. Luke's",107.0,113.0,123.0,119.0,115.5,115.0,51.52548,-0.089659,POINT (-0.089659 51.52548),231,Bunhill,Islington,E05000367,Islington,15800.0,29.0,640000.0,54080.0,88.73364664,122.0,12.04017622,25.7945501,0.0
"Roscoe Street, St. Luke's",48.0,25.0,43.0,41.0,39.25,51.0,51.522954,-0.094934,POINT (-0.094934 51.522954),231,Bunhill,Islington,E05000367,Islington,15800.0,29.0,640000.0,54080.0,88.73364664,122.0,12.04017622,25.7945501,0.0
"Sadlers Sports Centre, Finsbury",62.0,51.0,63.0,45.0,55.25,47.0,51.524868,-0.099489,POINT (-0.099489 51.524868),231,Bunhill,Islington,E05000367,Islington,15800.0,29.0,640000.0,54080.0,88.73364664,122.0,12.04017622,25.7945501,0.0
"Barons Court Station, West Kensington",45.0,45.0,44.0,66.0,50.0,53.0,51.490217,-0.215087,POINT (-0.215087 51.490217),145,Fulham Reach,Hammersmith and Fulham,E05000255,Hammersmith and Fulham,11600.0,31.0,786250.0,59970.0,93.90368107,37.0,18.43970767,20.7320341,0.028014616
"Beryl Road, Hammersmith",44.0,24.0,34.0,34.0,34.0,27.0,51.488144,-0.222456,POINT (-0.222456 51.488144),145,Fulham Reach,Hammersmith and Fulham,E05000255,Hammersmith and Fulham,11600.0,31.0,786250.0,59970.0,93.90368107,37.0,18.43970767,20.7320341,0.028014616
"Charing Cross Hospital, Hammersmith",32.0,40.0,35.0,30.0,34.25,31.0,51.487285,-0.217995,POINT (-0.217995 51.487285),145,Fulham Reach,Hammersmith and Fulham,E05000255,Hammersmith and Fulham,11600.0,31.0,786250.0,59970.0,93.90368107,37.0,18.43970767,20.7320341,0.028014616
"Crabtree Lane, Fulham",24.0,35.0,37.0,24.0,30.0,28.0,51.482944,-0.219346,POINT (-0.219346 51.482944),145,Fulham Reach,Hammersmith and Fulham,E05000255,Hammersmith and Fulham,11600.0,31.0,786250.0,59970.0,93.90368107,37.0,18.43970767,20.7320341,0.028014616
"Everington Street, Fulham",39.0,37.0,36.0,27.0,34.75,23.0,51.483356,-0.216305,POINT (-0.216305 51.483356),145,Fulham Reach,Hammersmith and Fulham,E05000255,Hammersmith and Fulham,11600.0,31.0,786250.0,59970.0,93.90368107,37.0,18.43970767,20.7320341,0.028014616
"Greyhound Road, Hammersmith",54.0,58.0,50.0,44.0,51.5,46.0,51.486062,-0.214428,POINT (-0.214428 51.486062),145,Fulham Reach,Hammersmith and Fulham,E05000255,Hammersmith and Fulham,11600.0,31.0,786250.0,59970.0,93.90368107,37.0,18.43970767,20.7320341,0.028014616
"Humbolt Road, Fulham",41.0,47.0,55.0,39.0,45.5,46.0,51.483217,-0.21186,POINT (-0.21186 51.483217),145,Fulham Reach,Hammersmith and Fulham,E05000255,Hammersmith and Fulham,11600.0,31.0,786250.0,59970.0,93.90368107,37.0,18.43970767,20.7320341,0.028014616
"Manbre Road, Hammersmith",22.0,22.0,35.0,22.0,25.25,19.0,51.485743,-0.223616,POINT (-0.223616 51.485743),145,Fulham Reach,Hammersmith and Fulham,E05000255,Hammersmith and Fulham,11600.0,31.0,786250.0,59970.0,93.90368107,37.0,18.43970767,20.7320341,0.028014616
"Rainville Road, Hammersmith",33.0,33.0,22.0,26.0,28.5,23.0,51.483732,-0.223852,POINT (-0.223852 51.483732),145,Fulham Reach,Hammersmith and Fulham,E05000255,Hammersmith and Fulham,11600.0,31.0,786250.0,59970.0,93.90368107,37.0,18.43970767,20.7320341,0.028014616
"Bayley Street , Bloomsbury",64.0,58.0,71.0,53.0,61.5,41.0,51.518587,-0.132053,POINT (-0.132053 51.518587),189,Bloomsbury,Camden,E05000129,Camden,11450.0,28.0,560000.0,62190.0,90.19644528,134.0,8.855228092,30.00764226,0.0
"Bedford Way, Bloomsbury",27.0,15.0,26.0,16.0,21.0,16.0,51.523673,-0.128377,POINT (-0.128377 51.523673),189,Bloomsbury,Camden,E05000129,Camden,11450.0,28.0,560000.0,62190.0,90.19644528,134.0,8.855228092,30.00764226,0.0
"British Museum, Bloomsbury",67.0,68.0,94.0,62.0,72.75,51.0,51.51908,-0.124678,POINT (-0.124678 51.51908),189,Bloomsbury,Camden,E05000129,Camden,11450.0,28.0,560000.0,62190.0,90.19644528,134.0,8.855228092,30.00764226,0.0
"Brunswick Square, Bloomsbury",52.0,69.0,60.0,66.0,61.75,47.0,51.523951,-0.122502,POINT (-0.122502 51.523951),189,Bloomsbury,Camden,E05000129,Camden,11450.0,28.0,560000.0,62190.0,90.19644528,134.0,8.855228092,30.00764226,0.0
"Charlotte Street, Fitzrovia",49.0,44.0,55.0,52.0,50.0,49.0,51.51953,-0.135777,POINT (-0.135777 51.51953),189,Bloomsbury,Camden,E05000129,Camden,11450.0,28.0,560000.0,62190.0,90.19644528,134.0,8.855228092,30.00764226,0.0
"Coram Street, Bloomsbury",47.0,55.0,32.0,32.0,41.5,31.0,51.524,-0.126409,POINT (-0.126409 51.524),189,Bloomsbury,Camden,E05000129,Camden,11450.0,28.0,560000.0,62190.0,90.19644528,134.0,8.855228092,30.00764226,0.0
"Endsleigh Gardens, Euston",101.0,86.0,92.0,84.0,90.75,39.0,51.526838,-0.130504,POINT (-0.130504 51.526838),189,Bloomsbury,Camden,E05000129,Camden,11450.0,28.0,560000.0,62190.0,90.19644528,134.0,8.855228092,30.00764226,0.0
"Great Russell Street, Bloomsbury",48.0,68.0,58.0,51.0,56.25,54.0,51.517727,-0.127854,POINT (-0.127854 51.517727),189,Bloomsbury,Camden,E05000129,Camden,11450.0,28.0,560000.0,62190.0,90.19644528,134.0,8.855228092,30.00764226,0.0
"Howland Street, Fitzrovia",83.0,93.0,85.0,70.0,82.75,54.0,51.520994,-0.139016,POINT (-0.139016 51.520994),189,Bloomsbury,Camden,E05000129,Camden,11450.0,28.0,560000.0,62190.0,90.19644528,134.0,8.855228092,30.00764226,0.0
"Malet Street, Bloomsbury",90.0,76.0,66.0,54.0,71.5,64.0,51.52168,-0.130431,POINT (-0.130431 51.52168),189,Bloomsbury,Camden,E05000129,Camden,11450.0,28.0,560000.0,62190.0,90.19644528,134.0,8.855228092,30.00764226,0.0
"Russell Square Station, Bloomsbury",79.0,65.0,74.0,65.0,70.75,54.0,51.523418,-0.124121,POINT (-0.124121 51.523418),189,Bloomsbury,Camden,E05000129,Camden,11450.0,28.0,560000.0,62190.0,90.19644528,134.0,8.855228092,30.00764226,0.0
"Scala Street, Fitzrovia",48.0,46.0,47.0,49.0,47.5,39.0,51.519914,-0.136039,POINT (-0.136039 51.519914),189,Bloomsbury,Camden,E05000129,Camden,11450.0,28.0,560000.0,62190.0,90.19644528,134.0,8.855228092,30.00764226,0.0
"Store Street, Bloomsbury",79.0,65.0,65.0,63.0,68.0,42.0,51.519572,-0.13214,POINT (-0.13214 51.519572),189,Bloomsbury,Camden,E05000129,Camden,11450.0,28.0,560000.0,62190.0,90.19644528,134.0,8.855228092,30.00764226,0.0
"Taviton Street, Bloomsbury",56.0,62.0,78.0,43.0,59.75,43.0,51.52505,-0.131161,POINT (-0.131161 51.52505),189,Bloomsbury,Camden,E05000129,Camden,11450.0,28.0,560000.0,62190.0,90.19644528,134.0,8.855228092,30.00764226,0.0
"Warren Street Station, Euston",123.0,107.0,107.0,110.0,111.75,102.0,51.524438,-0.138019,POINT (-0.138019 51.524438),189,Bloomsbury,Camden,E05000129,Camden,11450.0,28.0,560000.0,62190.0,90.19644528,134.0,8.855228092,30.00764226,0.0
"Bayswater Road, Hyde Park",70.0,132.0,182.0,112.0,124.0,101.0,51.511933,-0.174411,POINT (-0.174411 51.511933),169,Hyde Park,City of Westminster,E05000636,Westminster,13000.0,32.0,850000.0,79530.0,92.35734194,115.0,12.90269031,31.0635693,1.711920152
"Eastbourne Mews, Paddington",100.0,83.0,75.0,88.0,86.5,60.0,51.516417,-0.179135,POINT (-0.179135 51.516417),169,Hyde Park,City of Westminster,E05000636,Westminster,13000.0,32.0,850000.0,79530.0,92.35734194,115.0,12.90269031,31.0635693,1.711920152
"London Street, Paddington",114.0,115.0,59.0,96.0,96.0,70.0,51.515117,-0.173712,POINT (-0.173712 51.515117),169,Hyde Park,City of Westminster,E05000636,Westminster,13000.0,32.0,850000.0,79530.0,92.35734194,115.0,12.90269031,31.0635693,1.711920152
"North Wharf Road, Paddington",68.0,75.0,59.0,59.0,65.25,46.0,51.518622,-0.176645,POINT (-0.176645 51.518622),169,Hyde Park,City of Westminster,E05000636,Westminster,13000.0,32.0,850000.0,79530.0,92.35734194,115.0,12.90269031,31.0635693,1.711920152
"Porchester Place, Paddington",114.0,65.0,68.0,71.0,79.5,72.0,51.514746,-0.165164,POINT (-0.165164 51.514746),169,Hyde Park,City of Westminster,E05000636,Westminster,13000.0,32.0,850000.0,79530.0,92.35734194,115.0,12.90269031,31.0635693,1.711920152
"South Wharf Road, Paddington",72.0,84.0,82.0,67.0,76.25,55.0,51.517335,-0.17581,POINT (-0.17581 51.517335),169,Hyde Park,City of Westminster,E05000636,Westminster,13000.0,32.0,850000.0,79530.0,92.35734194,115.0,12.90269031,31.0635693,1.711920152
"Southwick Street, Paddington",39.0,30.0,30.0,29.0,32.0,33.0,51.515953,-0.169249,POINT (-0.169249 51.515953),169,Hyde Park,City of Westminster,E05000636,Westminster,13000.0,32.0,850000.0,79530.0,92.35734194,115.0,12.90269031,31.0635693,1.711920152
"St Mary's Hospital, Paddington",90.0,96.0,94.0,86.0,91.5,53.0,51.518268,-0.171103,POINT (-0.171103 51.518268),169,Hyde Park,City of Westminster,E05000636,Westminster,13000.0,32.0,850000.0,79530.0,92.35734194,115.0,12.90269031,31.0635693,1.711920152
"Bishop's Avenue, Fulham",53.0,33.0,48.0,45.0,44.75,30.0,51.473036,-0.214749,POINT (-0.214749 51.473036),132,Palace Riverside,Hammersmith and Fulham,E05000259,Hammersmith and Fulham,7550.0,37.0,950000.0,79350.0,95.81786686,40.0,19.082339,7.679395502,38.95252151
"Hurlingham Park, Parsons Green",34.0,23.0,27.0,23.0,26.75,14.0,51.470131,-0.20464,POINT (-0.20464 51.470131),132,Palace Riverside,Hammersmith and Fulham,E05000259,Hammersmith and Fulham,7550.0,37.0,950000.0,79350.0,95.81786686,40.0,19.082339,7.679395502,38.95252151
"Putney Bridge Station, Fulham",24.0,37.0,27.0,25.0,28.25,26.0,51.468814,-0.210279,POINT (-0.210279 51.468814),132,Palace Riverside,Hammersmith and Fulham,E05000259,Hammersmith and Fulham,7550.0,37.0,950000.0,79350.0,95.81786686,40.0,19.082339,7.679395502,38.95252151
"Ranelagh Gardens, Fulham",35.0,21.0,22.0,29.0,26.75,25.0,51.467601,-0.206827,POINT (-0.206827 51.467601),132,Palace Riverside,Hammersmith and Fulham,E05000259,Hammersmith and Fulham,7550.0,37.0,950000.0,79350.0,95.81786686,40.0,19.082339,7.679395502,38.95252151
"Bishop's Bridge Road East, Bayswater",30.0,26.0,25.0,31.0,28.0,23.0,51.5171,-0.18377,POINT (-0.18377 51.5171),179,Bayswater,City of Westminster,E05000631,Westminster,10400.0,35.0,850000.0,85610.0,94.07169118,28.0,4.964553052,26.69610678,0.0
"Gloucester Terrace, Bayswater",46.0,44.0,35.0,31.0,39.0,38.0,51.517919,-0.188098,POINT (-0.188098 51.517919),179,Bayswater,City of Westminster,E05000631,Westminster,10400.0,35.0,850000.0,85610.0,94.07169118,28.0,4.964553052,26.69610678,0.0
"Hereford Road, Bayswater",54.0,62.0,39.0,39.0,48.5,34.0,51.513735,-0.193487,POINT (-0.193487 51.513735),179,Bayswater,City of Westminster,E05000631,Westminster,10400.0,35.0,850000.0,85610.0,94.07169118,28.0,4.964553052,26.69610678,0.0
"Orsett Terrace, Bayswater",18.0,13.0,16.0,18.0,16.25,20.0,51.517932,-0.183716,POINT (-0.183716 51.517932),179,Bayswater,City of Westminster,E05000631,Westminster,10400.0,35.0,850000.0,85610.0,94.07169118,28.0,4.964553052,26.69610678,0.0
"Bishop's Bridge Road West, Bayswater",87.0,71.0,77.0,58.0,73.25,66.0,51.51616,-0.18697,POINT (-0.18697 51.51616),167,Lancaster Gate,City of Westminster,E05000638,Westminster,13550.0,32.0,895000.0,84280.0,93.17795581,45.0,9.099386736,31.62420181,0.0
"Cleveland Gardens, Bayswater",42.0,24.0,31.0,44.0,35.25,36.0,51.515607,-0.183118,POINT (-0.183118 51.515607),167,Lancaster Gate,City of Westminster,E05000638,Westminster,13550.0,32.0,895000.0,84280.0,93.17795581,45.0,9.099386736,31.62420181,0.0
"Devonshire Terrace, Bayswater",49.0,71.0,50.0,78.0,62.0,75.0,51.51348,-0.17977,POINT (-0.17977 51.51348),167,Lancaster Gate,City of Westminster,E05000638,Westminster,13550.0,32.0,895000.0,84280.0,93.17795581,45.0,9.099386736,31.62420181,0.0
"Ilchester Gardens, Bayswater",77.0,55.0,50.0,53.0,58.75,40.0,51.51244,-0.19096,POINT (-0.19096 51.51244),167,Lancaster Gate,City of Westminster,E05000638,Westminster,13550.0,32.0,895000.0,84280.0,93.17795581,45.0,9.099386736,31.62420181,0.0
"Lancaster Gate , Bayswater",46.0,54.0,98.0,89.0,71.75,55.0,51.511654,-0.179668,POINT (-0.179668 51.511654),167,Lancaster Gate,City of Westminster,E05000638,Westminster,13550.0,32.0,895000.0,84280.0,93.17795581,45.0,9.099386736,31.62420181,0.0
"Princes Square, Bayswater",46.0,37.0,30.0,28.0,35.25,26.0,51.513489,-0.191351,POINT (-0.191351 51.513489),167,Lancaster Gate,City of Westminster,E05000638,Westminster,13550.0,32.0,895000.0,84280.0,93.17795581,45.0,9.099386736,31.62420181,0.0
"Queensway, Kensington Gardens",167.0,131.0,69.0,86.0,113.25,78.0,51.51031,-0.187402,POINT (-0.187402 51.51031),167,Lancaster Gate,City of Westminster,E05000638,Westminster,13550.0,32.0,895000.0,84280.0,93.17795581,45.0,9.099386736,31.62420181,0.0
"Westbourne Grove, Bayswater",44.0,44.0,49.0,61.0,49.5,44.0,51.515529,-0.19024,POINT (-0.19024 51.515529),167,Lancaster Gate,City of Westminster,E05000638,Westminster,13550.0,32.0,895000.0,84280.0,93.17795581,45.0,9.099386736,31.62420181,0.0
"Blythe Road West, Shepherd's Bush",23.0,16.0,28.0,32.0,24.75,25.0,51.49968,-0.221791,POINT (-0.221791 51.49968),147,Addison,Hammersmith and Fulham,E05000250,Hammersmith and Fulham,11550.0,33.0,572500.0,63150.0,93.73074347,44.0,2.360412613,26.40872215,0.0
"Richmond Way, Shepherd's Bush",39.0,37.0,53.0,45.0,43.5,34.0,51.500353,-0.217515,POINT (-0.217515 51.500353),147,Addison,Hammersmith and Fulham,E05000250,Hammersmith and Fulham,11550.0,33.0,572500.0,63150.0,93.73074347,44.0,2.360412613,26.40872215,0.0
"Shepherd's Bush Road North, Shepherd's Bush",38.0,39.0,44.0,34.0,38.75,51.0,51.501594,-0.222293,POINT (-0.222293 51.501594),147,Addison,Hammersmith and Fulham,E05000250,Hammersmith and Fulham,11550.0,33.0,572500.0,63150.0,93.73074347,44.0,2.360412613,26.40872215,0.0
"Woodstock Grove, Shepherd's Bush",68.0,68.0,61.0,67.0,66.0,48.0,51.504038,-0.2174,POINT (-0.2174 51.504038),147,Addison,Hammersmith and Fulham,E05000250,Hammersmith and Fulham,11550.0,33.0,572500.0,63150.0,93.73074347,44.0,2.360412613,26.40872215,0.0
"Blythe Road, Olympia",28.0,40.0,30.0,27.0,31.25,29.0,51.496927,-0.2135,POINT (-0.2135 51.496927),139,Avonmore and Brook Green,Hammersmith and Fulham,E05000252,Hammersmith and Fulham,12500.0,33.0,618250.0,62140.0,92.68225961,50.0,13.08985023,22.658375,0.0
"Brook Green South, Brook Green",40.0,31.0,46.0,35.0,38.0,34.0,51.494347,-0.215804,POINT (-0.215804 51.494347),139,Avonmore and Brook Green,Hammersmith and Fulham,E05000252,Hammersmith and Fulham,12500.0,33.0,618250.0,62140.0,92.68225961,50.0,13.08985023,22.658375,0.0
"Colet Gardens, Hammersmith",6.0,5.0,5.0,5.0,5.25,5.0,51.491093,-0.216493,POINT (-0.216493 51.491093),139,Avonmore and Brook Green,Hammersmith and Fulham,E05000252,Hammersmith and Fulham,12500.0,33.0,618250.0,62140.0,92.68225961,50.0,13.08985023,22.658375,0.0
"Gwendwr Road, West Kensington",29.0,31.0,33.0,33.0,31.5,29.0,51.491026,-0.209121,POINT (-0.209121 51.491026),139,Avonmore and Brook Green,Hammersmith and Fulham,E05000252,Hammersmith and Fulham,12500.0,33.0,618250.0,62140.0,92.68225961,50.0,13.08985023,22.658375,0.0
"Hammersmith Road, Hammersmith",50.0,64.0,81.0,54.0,62.25,58.0,51.493267,-0.21985,POINT (-0.21985 51.493267),139,Avonmore and Brook Green,Hammersmith and Fulham,E05000252,Hammersmith and Fulham,12500.0,33.0,618250.0,62140.0,92.68225961,50.0,13.08985023,22.658375,0.0
"Little Brook Green, Brook Green",40.0,37.0,27.0,32.0,34.0,28.0,51.496664,-0.223868,POINT (-0.223868 51.496664),139,Avonmore and Brook Green,Hammersmith and Fulham,E05000252,Hammersmith and Fulham,12500.0,33.0,618250.0,62140.0,92.68225961,50.0,13.08985023,22.658375,0.0
"Boston Place, Marylebone",101.0,87.0,107.0,119.0,103.5,75.0,51.522511,-0.162298,POINT (-0.162298 51.522511),174,Bryanston and Dorset Square,City of Westminster,E05000632,Westminster,12400.0,33.0,975000.0,88470.0,94.12359226,85.0,3.568954529,36.04283854,0.0
"Broadley Terrace, Marylebone",37.0,30.0,20.0,23.0,27.5,22.0,51.524561,-0.165668,POINT (-0.165668 51.524561),174,Bryanston and Dorset Square,City of Westminster,E05000632,Westminster,12400.0,33.0,975000.0,88470.0,94.12359226,85.0,3.568954529,36.04283854,0.0
"Dorset Square, Marylebone",63.0,91.0,74.0,27.0,63.75,47.0,51.522596,-0.161113,POINT (-0.161113 51.522596),174,Bryanston and Dorset Square,City of Westminster,E05000632,Westminster,12400.0,33.0,975000.0,88470.0,94.12359226,85.0,3.568954529,36.04283854,0.0
"Edgware Road Station, Marylebone",61.0,57.0,50.0,50.0,54.5,31.0,51.519968,-0.169774,POINT (-0.169774 51.519968),174,Bryanston and Dorset Square,City of Westminster,E05000632,Westminster,12400.0,33.0,975000.0,88470.0,94.12359226,85.0,3.568954529,36.04283854,0.0
"George Place Mews, Marylebone",56.0,42.0,56.0,35.0,47.25,39.0,51.516892,-0.158249,POINT (-0.158249 51.516892),174,Bryanston and Dorset Square,City of Westminster,E05000632,Westminster,12400.0,33.0,975000.0,88470.0,94.12359226,85.0,3.568954529,36.04283854,0.0
"Harrowby Street, Marylebone",30.0,31.0,34.0,42.0,34.25,21.0,51.517372,-0.164207,POINT (-0.164207 51.517372),174,Bryanston and Dorset Square,City of Westminster,E05000632,Westminster,12400.0,33.0,975000.0,88470.0,94.12359226,85.0,3.568954529,36.04283854,0.0
"Nutford Place, Marylebone",24.0,46.0,43.0,29.0,35.5,36.0,51.516517,-0.164393,POINT (-0.164393 51.516517),174,Bryanston and Dorset Square,City of Westminster,E05000632,Westminster,12400.0,33.0,975000.0,88470.0,94.12359226,85.0,3.568954529,36.04283854,0.0
"Old Quebec Street, Marylebone",103.0,125.0,144.0,120.0,123.0,100.0,51.514577,-0.158264,POINT (-0.158264 51.514577),174,Bryanston and Dorset Square,City of Westminster,E05000632,Westminster,12400.0,33.0,975000.0,88470.0,94.12359226,85.0,3.568954529,36.04283854,0.0
"Seymour Place, Marylebone",31.0,52.0,43.0,30.0,39.0,40.0,51.520331,-0.163667,POINT (-0.163667 51.520331),174,Bryanston and Dorset Square,City of Westminster,E05000632,Westminster,12400.0,33.0,975000.0,88470.0,94.12359226,85.0,3.568954529,36.04283854,0.0
"Shouldham Street, Marylebone",50.0,42.0,58.0,43.0,48.25,32.0,51.51809,-0.163609,POINT (-0.163609 51.51809),174,Bryanston and Dorset Square,City of Westminster,E05000632,Westminster,12400.0,33.0,975000.0,88470.0,94.12359226,85.0,3.568954529,36.04283854,0.0
"Bourne Street, Belgravia",71.0,33.0,54.0,45.0,50.75,37.0,51.490959,-0.153233,POINT (-0.153233 51.490959),170,Churchill,City of Westminster,E05000633,Westminster,10100.0,34.0,1100000.0,65830.0,90.42259503,27.0,9.60509824,21.08319946,7.349021131
"Chelsea Bridge, Pimlico",83.0,72.0,57.0,47.0,64.75,51.0,51.485821,-0.149004,POINT (-0.149004 51.485821),170,Churchill,City of Westminster,E05000633,Westminster,10100.0,34.0,1100000.0,65830.0,90.42259503,27.0,9.60509824,21.08319946,7.349021131
"Grosvenor Road, Pimlico",35.0,35.0,25.0,36.0,32.75,44.0,51.485357,-0.142207,POINT (-0.142207 51.485357),170,Churchill,City of Westminster,E05000633,Westminster,10100.0,34.0,1100000.0,65830.0,90.42259503,27.0,9.60509824,21.08319946,7.349021131
"Bridge Avenue, Hammersmith",65.0,64.0,50.0,70.0,62.25,48.0,51.492084,-0.229116,POINT (-0.229116 51.492084),138,Hammersmith Broadway,Hammersmith and Fulham,E05000256,Hammersmith and Fulham,12100.0,32.0,741250.0,56010.0,91.52715097,90.0,7.437523312,26.0080194,1.407124207
"Crisp Road, Hammersmith",58.0,48.0,52.0,56.0,53.5,34.0,51.488108,-0.226606,POINT (-0.226606 51.488108),138,Hammersmith Broadway,Hammersmith and Fulham,E05000256,Hammersmith and Fulham,12100.0,32.0,741250.0,56010.0,91.52715097,90.0,7.437523312,26.0080194,1.407124207
"Southerton Road, Hammersmith",46.0,39.0,40.0,34.0,39.75,36.0,51.494499,-0.228188,POINT (-0.228188 51.494499),138,Hammersmith Broadway,Hammersmith and Fulham,E05000256,Hammersmith and Fulham,12100.0,32.0,741250.0,56010.0,91.52715097,90.0,7.437523312,26.0080194,1.407124207
"Broadcasting House, Marylebone",68.0,55.0,64.0,44.0,57.75,39.0,51.518117,-0.144228,POINT (-0.144228 51.518117),172,West End,City of Westminster,E05000649,Westminster,10950.0,36.0,1487500.0,95940.0,93.98175397,279.0,3.465974307,31.93006902,0.000501225
"Broadwick Street, Soho",67.0,71.0,62.0,57.0,64.25,66.0,51.513684,-0.13558,POINT (-0.13558 51.513684),172,West End,City of Westminster,E05000649,Westminster,10950.0,36.0,1487500.0,95940.0,93.98175397,279.0,3.465974307,31.93006902,0.000501225
"Bruton Street, Mayfair",35.0,45.0,51.0,44.0,43.75,31.0,51.510736,-0.144165,POINT (-0.144165 51.510736),172,West End,City of Westminster,E05000649,Westminster,10950.0,36.0,1487500.0,95940.0,93.98175397,279.0,3.465974307,31.93006902,0.000501225
"Chapel Place, Marylebone",69.0,60.0,57.0,55.0,60.25,51.0,51.515308,-0.147203,POINT (-0.147203 51.515308),172,West End,City of Westminster,E05000649,Westminster,10950.0,36.0,1487500.0,95940.0,93.98175397,279.0,3.465974307,31.93006902,0.000501225
"Clarges Street, Mayfair",16.0,17.0,28.0,24.0,21.25,15.0,51.507326,-0.145827,POINT (-0.145827 51.507326),172,West End,City of Westminster,E05000649,Westminster,10950.0,36.0,1487500.0,95940.0,93.98175397,279.0,3.465974307,31.93006902,0.000501225
"Clifford Street, Mayfair",36.0,23.0,23.0,38.0,30.0,25.0,51.510662,-0.142345,POINT (-0.142345 51.510662),172,West End,City of Westminster,E05000649,Westminster,10950.0,36.0,1487500.0,95940.0,93.98175397,279.0,3.465974307,31.93006902,0.000501225
"Curzon Street, Mayfair",49.0,32.0,44.0,44.0,42.25,36.0,51.507069,-0.145904,POINT (-0.145904 51.507069),172,West End,City of Westminster,E05000649,Westminster,10950.0,36.0,1487500.0,95940.0,93.98175397,279.0,3.465974307,31.93006902,0.000501225
"Farm Street, Mayfair",33.0,39.0,38.0,27.0,34.25,25.0,51.509351,-0.147449,POINT (-0.147449 51.509351),172,West End,City of Westminster,E05000649,Westminster,10950.0,36.0,1487500.0,95940.0,93.98175397,279.0,3.465974307,31.93006902,0.000501225
"Foley Street, Fitzrovia",59.0,56.0,58.0,50.0,55.75,44.0,51.519181,-0.140485,POINT (-0.140485 51.519181),172,West End,City of Westminster,E05000649,Westminster,10950.0,36.0,1487500.0,95940.0,93.98175397,279.0,3.465974307,31.93006902,0.000501225
"Frith Street, Soho",52.0,82.0,78.0,68.0,70.0,54.0,51.513103,-0.131213,POINT (-0.131213 51.513103),172,West End,City of Westminster,E05000649,Westminster,10950.0,36.0,1487500.0,95940.0,93.98175397,279.0,3.465974307,31.93006902,0.000501225
"Golden Square, Soho",73.0,65.0,78.0,80.0,74.0,59.0,51.511897,-0.137043,POINT (-0.137043 51.511897),172,West End,City of Westminster,E05000649,Westminster,10950.0,36.0,1487500.0,95940.0,93.98175397,279.0,3.465974307,31.93006902,0.000501225
"Grafton Street, Mayfair",42.0,26.0,22.0,31.0,30.25,17.0,51.509992,-0.143495,POINT (-0.143495 51.509992),172,West End,City of Westminster,E05000649,Westminster,10950.0,36.0,1487500.0,95940.0,93.98175397,279.0,3.465974307,31.93006902,0.000501225
"Great Titchfield Street, Fitzrovia",54.0,50.0,44.0,47.0,48.75,44.0,51.520253,-0.141327,POINT (-0.141327 51.520253),172,West End,City of Westminster,E05000649,Westminster,10950.0,36.0,1487500.0,95940.0,93.98175397,279.0,3.465974307,31.93006902,0.000501225
"Green Street, Mayfair",103.0,93.0,108.0,92.0,99.0,72.0,51.512276,-0.157436,POINT (-0.157436 51.512276),172,West End,City of Westminster,E05000649,Westminster,10950.0,36.0,1487500.0,95940.0,93.98175397,279.0,3.465974307,31.93006902,0.000501225
"Grosvenor Square, Mayfair",60.0,46.0,86.0,59.0,62.75,55.0,51.51217,-0.150481,POINT (-0.150481 51.51217),172,West End,City of Westminster,E05000649,Westminster,10950.0,36.0,1487500.0,95940.0,93.98175397,279.0,3.465974307,31.93006902,0.000501225
"Little Argyll Street, West End",173.0,152.0,131.0,136.0,148.0,128.0,51.514499,-0.141423,POINT (-0.141423 51.514499),172,West End,City of Westminster,E05000649,Westminster,10950.0,36.0,1487500.0,95940.0,93.98175397,279.0,3.465974307,31.93006902,0.000501225
"Moor Street, Soho",108.0,109.0,129.0,98.0,111.0,86.0,51.513527,-0.13011,POINT (-0.13011 51.513527),172,West End,City of Westminster,E05000649,Westminster,10950.0,36.0,1487500.0,95940.0,93.98175397,279.0,3.465974307,31.93006902,0.000501225
"North Audley Street, Mayfair",59.0,59.0,79.0,67.0,66.0,65.0,51.512911,-0.153645,POINT (-0.153645 51.512911),172,West End,City of Westminster,E05000649,Westminster,10950.0,36.0,1487500.0,95940.0,93.98175397,279.0,3.465974307,31.93006902,0.000501225
"Park Lane, Mayfair",41.0,30.0,36.0,40.0,36.75,26.0,51.505426,-0.150817,POINT (-0.150817 51.505426),172,West End,City of Westminster,E05000649,Westminster,10950.0,36.0,1487500.0,95940.0,93.98175397,279.0,3.465974307,31.93006902,0.000501225
