StartStation Name,July 5th,August 2nd,July 12th,July 26th,Average Count,July 19th(Heatwave day),Latitude,Longitude,geometry,index_right,NAME,DISTRICT,New Code,Borough,Population and Age; All ages; 2013,Population and Age; Median age; 2013,House Prices; Median House Price; 2014,Household Income; Mean Modelled Household income (); 2012/13,Employment; Economic Activity (Percentages) - 2011 Census; Economically active: % In employment,Road Casualties; Total Casualties; 2014,Land Use; % Greenspace; 2005,Land Use; % Road; 2005,Land Use; % Water; 2005
"Aintree Street, Fulham",52.0,50.0,51.0,35.0,47.0,43.0,51.481021,-0.209973,POINT (-0.209973 51.481021),133,Munster,Hammersmith and Fulham,E05000257,Hammersmith and Fulham,11100.0,32.0,745000.0,73820.0,94.95095211,15.0,10.26453325,24.38047761,0.0
"Finlay Street, Fulham",47.0,30.0,28.0,24.0,32.25,32.0,51.476885,-0.215895,POINT (-0.215895 51.476885),133,Munster,Hammersmith and Fulham,E05000257,Hammersmith and Fulham,11100.0,32.0,745000.0,73820.0,94.95095211,15.0,10.26453325,24.38047761,0.0
"St. Peter's Terrace, Fulham",43.0,48.0,39.0,45.0,43.75,33.0,51.478939,-0.208485,POINT (-0.208485 51.478939),133,Munster,Hammersmith and Fulham,E05000257,Hammersmith and Fulham,11100.0,32.0,745000.0,73820.0,94.95095211,15.0,10.26453325,24.38047761,0.0
"Albany Street, The Regent's Park",50.0,53.0,62.0,77.0,60.5,51.0,51.528302,-0.144466,POINT (-0.144466 51.528302),203,Regent's Park,Camden,E05000142,Camden,14250.0,29.0,600000.0,52460.0,89.30608365,99.0,27.44091286,23.03111264,0.167167922
"Drummond Street , Euston",24.0,33.0,45.0,32.0,33.5,26.0,51.527326,-0.136052,POINT (-0.136052 51.527326),203,Regent's Park,Camden,E05000142,Camden,14250.0,29.0,600000.0,52460.0,89.30608365,99.0,27.44091286,23.03111264,0.167167922
"Euston Road, Euston",46.0,70.0,37.0,42.0,48.75,14.0,51.526236,-0.134407,POINT (-0.134407 51.526236),203,Regent's Park,Camden,E05000142,Camden,14250.0,29.0,600000.0,52460.0,89.30608365,99.0,27.44091286,23.03111264,0.167167922
"Euston Square Gardens, Euston",29.0,24.0,15.0,22.0,22.5,14.0,51.527068,-0.131861,POINT (-0.131861 51.527068),203,Regent's Park,Camden,E05000142,Camden,14250.0,29.0,600000.0,52460.0,89.30608365,99.0,27.44091286,23.03111264,0.167167922
"Hampstead Road, Euston",62.0,67.0,58.0,67.0,63.5,51.0,51.525542,-0.138231,POINT (-0.138231 51.525542),203,Regent's Park,Camden,E05000142,Camden,14250.0,29.0,600000.0,52460.0,89.30608365,99.0,27.44091286,23.03111264,0.167167922
"Harrington Square 1, Camden Town",48.0,59.0,59.0,37.0,50.75,36.0,51.533019,-0.139174,POINT (-0.139174 51.533019),203,Regent's Park,Camden,E05000142,Camden,14250.0,29.0,600000.0,52460.0,89.30608365,99.0,27.44091286,23.03111264,0.167167922
"London Zoo Car Park, The Regent's Park",25.0,39.0,25.0,30.0,29.75,20.0,51.536922,-0.150181,POINT (-0.150181 51.536922),203,Regent's Park,Camden,E05000142,Camden,14250.0,29.0,600000.0,52460.0,89.30608365,99.0,27.44091286,23.03111264,0.167167922
"Longford Street, The Regent's Park",18.0,24.0,24.0,15.0,20.25,35.0,51.525595,-0.144083,POINT (-0.144083 51.525595),203,Regent's Park,Camden,E05000142,Camden,14250.0,29.0,600000.0,52460.0,89.30608365,99.0,27.44091286,23.03111264,0.167167922
"Albert Bridge Road, Battersea Park",50.0,34.0,52.0,61.0,49.25,46.0,51.474392,-0.163347,POINT (-0.163347 51.474392),129,St. Mary's Park,Wandsworth,E05000622,Wandsworth,17000.0,33.0,530000.0,61760.0,94.1326772,75.0,9.550467447,18.78263929,13.69870682
"Battersea Church Road, Battersea",50.0,46.0,45.0,46.0,46.75,48.0,51.476964,-0.174347,POINT (-0.174347 51.476964),129,St. Mary's Park,Wandsworth,E05000622,Wandsworth,17000.0,33.0,530000.0,61760.0,94.1326772,75.0,9.550467447,18.78263929,13.69870682
"Ethelburga Estate, Battersea Park",113.0,121.0,84.0,106.0,106.0,70.0,51.477292,-0.164786,POINT (-0.164786 51.477292),129,St. Mary's Park,Wandsworth,E05000622,Wandsworth,17000.0,33.0,530000.0,61760.0,94.1326772,75.0,9.550467447,18.78263929,13.69870682
"Orbel Street, Battersea",38.0,20.0,49.0,15.0,30.5,28.0,51.474535,-0.17021,POINT (-0.17021 51.474535),129,St. Mary's Park,Wandsworth,E05000622,Wandsworth,17000.0,33.0,530000.0,61760.0,94.1326772,75.0,9.550467447,18.78263929,13.69870682
"Simpson Street, Clapham Junction",62.0,61.0,59.0,67.0,62.25,57.0,51.470847,-0.170703,POINT (-0.170703 51.470847),129,St. Mary's Park,Wandsworth,E05000622,Wandsworth,17000.0,33.0,530000.0,61760.0,94.1326772,75.0,9.550467447,18.78263929,13.69870682
"Surrey Lane, Battersea",46.0,43.0,38.0,50.0,44.25,36.0,51.47518,-0.16716,POINT (-0.16716 51.47518),129,St. Mary's Park,Wandsworth,E05000622,Wandsworth,17000.0,33.0,530000.0,61760.0,94.1326772,75.0,9.550467447,18.78263929,13.69870682
"Vicarage Crescent, Battersea",48.0,57.0,71.0,55.0,57.75,48.0,51.472876,-0.176267,POINT (-0.176267 51.472876),129,St. Mary's Park,Wandsworth,E05000622,Wandsworth,17000.0,33.0,530000.0,61760.0,94.1326772,75.0,9.550467447,18.78263929,13.69870682
"Westbridge Road, Battersea",89.0,79.0,87.0,74.0,82.25,63.0,51.477684,-0.170329,POINT (-0.170329 51.477684),129,St. Mary's Park,Wandsworth,E05000622,Wandsworth,17000.0,33.0,530000.0,61760.0,94.1326772,75.0,9.550467447,18.78263929,13.69870682
"Albert Embankment, Vauxhall",43.0,59.0,51.0,43.0,49.0,41.0,51.490435,-0.122806,POINT (-0.122806 51.490435),43,Prince's,Lambeth,E05000427,Lambeth,14900.0,33.0,495000.0,47420.0,90.92316855,53.0,17.67424853,22.99218061,2.118922162
"Black Prince Road, Vauxhall",57.0,57.0,48.0,48.0,52.5,41.0,51.490867,-0.116911,POINT (-0.116911 51.490867),43,Prince's,Lambeth,E05000427,Lambeth,14900.0,33.0,495000.0,47420.0,90.92316855,53.0,17.67424853,22.99218061,2.118922162
"Cleaver Street, Kennington",27.0,18.0,30.0,26.0,25.25,29.0,51.488105,-0.110121,POINT (-0.110121 51.488105),43,Prince's,Lambeth,E05000427,Lambeth,14900.0,33.0,495000.0,47420.0,90.92316855,53.0,17.67424853,22.99218061,2.118922162
"Cotton Garden Estate, Kennington",23.0,38.0,47.0,29.0,34.25,42.0,51.490757,-0.106323,POINT (-0.106323 51.490757),43,Prince's,Lambeth,E05000427,Lambeth,14900.0,33.0,495000.0,47420.0,90.92316855,53.0,17.67424853,22.99218061,2.118922162
"Fire Brigade Pier, Vauxhall",50.0,47.0,54.0,53.0,51.0,43.0,51.493699,-0.121394,POINT (-0.121394 51.493699),43,Prince's,Lambeth,E05000427,Lambeth,14900.0,33.0,495000.0,47420.0,90.92316855,53.0,17.67424853,22.99218061,2.118922162
"Kennington Cross, Kennington",81.0,73.0,88.0,77.0,79.75,61.0,51.48894,-0.111435,POINT (-0.111435 51.48894),43,Prince's,Lambeth,E05000427,Lambeth,14900.0,33.0,495000.0,47420.0,90.92316855,53.0,17.67424853,22.99218061,2.118922162
"Kennington Lane Rail Bridge, Vauxhall",127.0,96.0,138.0,84.0,111.25,78.0,51.486343,-0.122492,POINT (-0.122492 51.486343),43,Prince's,Lambeth,E05000427,Lambeth,14900.0,33.0,495000.0,47420.0,90.92316855,53.0,17.67424853,22.99218061,2.118922162
"Kennington Station, Kennington",42.0,49.0,37.0,40.0,42.0,43.0,51.488852,-0.105593,POINT (-0.105593 51.488852),43,Prince's,Lambeth,E05000427,Lambeth,14900.0,33.0,495000.0,47420.0,90.92316855,53.0,17.67424853,22.99218061,2.118922162
"Lollard Street, Vauxhall",50.0,43.0,61.0,62.0,54.0,45.0,51.49288,-0.114934,POINT (-0.114934 51.49288),43,Prince's,Lambeth,E05000427,Lambeth,14900.0,33.0,495000.0,47420.0,90.92316855,53.0,17.67424853,22.99218061,2.118922162
"New Spring Gardens Walk, Vauxhall",34.0,25.0,28.0,30.0,29.25,19.0,51.487807,-0.122759,POINT (-0.122759 51.487807),43,Prince's,Lambeth,E05000427,Lambeth,14900.0,33.0,495000.0,47420.0,90.92316855,53.0,17.67424853,22.99218061,2.118922162
"Sancroft Street, Vauxhall",23.0,33.0,24.0,27.0,26.75,30.0,51.489479,-0.115156,POINT (-0.115156 51.489479),43,Prince's,Lambeth,E05000427,Lambeth,14900.0,33.0,495000.0,47420.0,90.92316855,53.0,17.67424853,22.99218061,2.118922162
"Vauxhall Street, Vauxhall",46.0,43.0,56.0,54.0,49.75,51.0,51.486965,-0.116625,POINT (-0.116625 51.486965),43,Prince's,Lambeth,E05000427,Lambeth,14900.0,33.0,495000.0,47420.0,90.92316855,53.0,17.67424853,22.99218061,2.118922162
"Vauxhall Walk, Vauxhall",26.0,38.0,35.0,27.0,31.5,31.0,51.488124,-0.120903,POINT (-0.120903 51.488124),43,Prince's,Lambeth,E05000427,Lambeth,14900.0,33.0,495000.0,47420.0,90.92316855,53.0,17.67424853,22.99218061,2.118922162
"Belgrave Square, Belgravia",40.0,38.0,35.0,39.0,38.0,37.0,51.499412,-0.152317,POINT (-0.152317 51.499412),168,Knightsbridge and Belgravia,City of Westminster,E05000637,Westminster,9850.0,34.0,3500000.0,176950.0,96.17040562,159.0,51.83140085,14.91100567,5.451598891
"Eaton Square (South), Belgravia",42.0,37.0,34.0,30.0,35.75,30.0,51.494561,-0.153933,POINT (-0.153933 51.494561),168,Knightsbridge and Belgravia,City of Westminster,E05000637,Westminster,9850.0,34.0,3500000.0,176950.0,96.17040562,159.0,51.83140085,14.91100567,5.451598891
"Eaton Square, Belgravia",44.0,30.0,43.0,31.0,37.0,20.0,51.496544,-0.150905,POINT (-0.150905 51.496544),168,Knightsbridge and Belgravia,City of Westminster,E05000637,Westminster,9850.0,34.0,3500000.0,176950.0,96.17040562,159.0,51.83140085,14.91100567,5.451598891
"Exhibition Road, Knightsbridge",121.0,128.0,119.0,133.0,125.25,111.0,51.499917,-0.174554,POINT (-0.174554 51.499917),168,Knightsbridge and Belgravia,City of Westminster,E05000637,Westminster,9850.0,34.0,3500000.0,176950.0,96.17040562,159.0,51.83140085,14.91100567,5.451598891
"Grosvenor Crescent, Belgravia",10.0,7.0,8.0,13.0,9.5,10.0,51.501352,-0.153194,POINT (-0.153194 51.501352),168,Knightsbridge and Belgravia,City of Westminster,E05000637,Westminster,9850.0,34.0,3500000.0,176950.0,96.17040562,159.0,51.83140085,14.91100567,5.451598891
"Hyde Park Corner, Hyde Park",393.0,305.0,445.0,384.0,381.75,270.0,51.503117,-0.15352,POINT (-0.15352 51.503117),168,Knightsbridge and Belgravia,City of Westminster,E05000637,Westminster,9850.0,34.0,3500000.0,176950.0,96.17040562,159.0,51.83140085,14.91100567,5.451598891
"Imperial College, Knightsbridge",74.0,71.0,61.0,56.0,65.5,55.0,51.499428,-0.179702,POINT (-0.179702 51.499428),168,Knightsbridge and Belgravia,City of Westminster,E05000637,Westminster,9850.0,34.0,3500000.0,176950.0,96.17040562,159.0,51.83140085,14.91100567,5.451598891
"Kensington Gore, Knightsbridge",13.0,34.0,30.0,49.0,31.5,20.0,51.501432,-0.178656,POINT (-0.178656 51.501432),168,Knightsbridge and Belgravia,City of Westminster,E05000637,Westminster,9850.0,34.0,3500000.0,176950.0,96.17040562,159.0,51.83140085,14.91100567,5.451598891
"Knightsbridge, Hyde Park",67.0,58.0,31.0,80.0,59.0,58.0,51.502757,-0.155349,POINT (-0.155349 51.502757),168,Knightsbridge and Belgravia,City of Westminster,E05000637,Westminster,9850.0,34.0,3500000.0,176950.0,96.17040562,159.0,51.83140085,14.91100567,5.451598891
"Montpelier Street, Knightsbridge",66.0,78.0,90.0,67.0,75.25,60.0,51.498884,-0.165471,POINT (-0.165471 51.498884),168,Knightsbridge and Belgravia,City of Westminster,E05000637,Westminster,9850.0,34.0,3500000.0,176950.0,96.17040562,159.0,51.83140085,14.91100567,5.451598891
"Park Lane , Hyde Park",112.0,171.0,185.0,170.0,159.5,48.0,51.510017,-0.157275,POINT (-0.157275 51.510017),168,Knightsbridge and Belgravia,City of Westminster,E05000637,Westminster,9850.0,34.0,3500000.0,176950.0,96.17040562,159.0,51.83140085,14.91100567,5.451598891
"Prince Consort Road, Knightsbridge",32.0,25.0,30.0,24.0,27.75,36.0,51.499806,-0.176415,POINT (-0.176415 51.499806),168,Knightsbridge and Belgravia,City of Westminster,E05000637,Westminster,9850.0,34.0,3500000.0,176950.0,96.17040562,159.0,51.83140085,14.91100567,5.451598891
"Queen's Gate, Kensington Gardens",125.0,113.0,98.0,149.0,121.25,75.0,51.501715,-0.179854,POINT (-0.179854 51.501715),168,Knightsbridge and Belgravia,City of Westminster,E05000637,Westminster,9850.0,34.0,3500000.0,176950.0,96.17040562,159.0,51.83140085,14.91100567,5.451598891
"Serpentine Car Park, Hyde Park",178.0,202.0,211.0,162.0,188.25,83.0,51.505014,-0.17306,POINT (-0.17306 51.505014),168,Knightsbridge and Belgravia,City of Westminster,E05000637,Westminster,9850.0,34.0,3500000.0,176950.0,96.17040562,159.0,51.83140085,14.91100567,5.451598891
"Triangle Car Park, Hyde Park",168.0,209.0,193.0,180.0,187.5,102.0,51.506451,-0.170279,POINT (-0.170279 51.506451),168,Knightsbridge and Belgravia,City of Westminster,E05000637,Westminster,9850.0,34.0,3500000.0,176950.0,96.17040562,159.0,51.83140085,14.91100567,5.451598891
"Albert Square, Stockwell",47.0,63.0,36.0,42.0,47.0,53.0,51.47659,-0.118256,POINT (-0.118256 51.47659),42,Stockwell,Lambeth,E05000429,Lambeth,15100.0,32.0,391375.0,44070.0,89.43772401,57.0,13.16746589,22.75696713,0.0
"Binfield Road, Stockwell",59.0,65.0,68.0,66.0,64.5,40.0,51.472509,-0.122831,POINT (-0.122831 51.472509),42,Stockwell,Lambeth,E05000429,Lambeth,15100.0,32.0,391375.0,44070.0,89.43772401,57.0,13.16746589,22.75696713,0.0
"Clapham Road, Lingham Street, Stockwell",24.0,20.0,22.0,16.0,20.5,29.0,51.471433,-0.12367,POINT (-0.12367 51.471433),42,Stockwell,Lambeth,E05000429,Lambeth,15100.0,32.0,391375.0,44070.0,89.43772401,57.0,13.16746589,22.75696713,0.0
"Clarence Walk, Stockwell",19.0,13.0,28.0,17.0,19.25,29.0,51.470732,-0.126994,POINT (-0.126994 51.470732),42,Stockwell,Lambeth,E05000429,Lambeth,15100.0,32.0,391375.0,44070.0,89.43772401,57.0,13.16746589,22.75696713,0.0
"Hartington Road, Stockwell",61.0,56.0,56.0,35.0,52.0,45.0,51.47787,-0.126874,POINT (-0.126874 51.47787),42,Stockwell,Lambeth,E05000429,Lambeth,15100.0,32.0,391375.0,44070.0,89.43772401,57.0,13.16746589,22.75696713,0.0
"Teversham Lane, Stockwell",19.0,31.0,30.0,28.0,27.0,27.0,51.476149,-0.123258,POINT (-0.123258 51.476149),42,Stockwell,Lambeth,E05000429,Lambeth,15100.0,32.0,391375.0,44070.0,89.43772401,57.0,13.16746589,22.75696713,0.0
"Alderney Street, Pimlico",77.0,53.0,73.0,77.0,70.0,68.0,51.488057,-0.140741,POINT (-0.140741 51.488057),180,Warwick,City of Westminster,E05000647,Westminster,9650.0,34.0,857250.0,86200.0,93.84744342,51.0,4.864185197,34.17331243,0.0
"Belgrave Road, Victoria",55.0,59.0,65.0,56.0,58.75,73.0,51.493204,-0.144132,POINT (-0.144132 51.493204),180,Warwick,City of Westminster,E05000647,Westminster,9650.0,34.0,857250.0,86200.0,93.84744342,51.0,4.864185197,34.17331243,0.0
"Ebury Bridge, Pimlico",46.0,42.0,27.0,36.0,37.75,35.0,51.490491,-0.149186,POINT (-0.149186 51.490491),180,Warwick,City of Westminster,E05000647,Westminster,9650.0,34.0,857250.0,86200.0,93.84744342,51.0,4.864185197,34.17331243,0.0
