EndStation Name,Average Count,Count,Count Change,Latitude,Longitude
"Collingham Gardens, Earl's Court",40,42,2,51.491615,-0.186753
"Columbia Road, Shoreditch",51.25,55,3.75,51.528187,-0.075375
"Commercial Street, Shoreditch",52.5,37,-15.5,51.52127,-0.075578
"Concert Hall Approach 1, South Bank",33,16,-17,51.505044,-0.115851
"Concert Hall Approach 2, South Bank",39,17,-22,51.504942,-0.115533
"Coomer Place, West Kensington",58,51,-7,51.48357,-0.202038
"Copper Box Arena, Queen Elizabeth Olympic Park",40.5,44,3.5,51.544909,-0.020542
"Coram Street, Bloomsbury",37.75,27,-10.75,51.524,-0.126409
"Cotton Garden Estate, Kennington",26.5,32,5.5,51.490757,-0.106323
"Courland Grove, Wandsworth Road",47.25,33,-14.25,51.472918,-0.132102
"Crabtree Lane, Fulham",27,29,2,51.482944,-0.219346
"Craven Street, Strand",138.5,101,-37.5,51.508103,-0.126021
"Crawford Street, Marylebone",63.75,69,5.25,51.52026,-0.157183
"Crinan Street, King's Cross",29.5,17,-12.5,51.534474,-0.122203
"Crisp Road, Hammersmith",55.25,42,-13.25,51.488108,-0.226606
"Cromer Street, Bloomsbury",25,32,7,51.528279,-0.119558
"Crosswall, Tower",148.75,98,-50.75,51.511594,-0.077121
"Culvert Road, Battersea",24.25,21,-3.25,51.471095,-0.15785
"Curlew Street, Shad Thames",77,29,-48,51.502279,-0.074189
"Curzon Street, Mayfair",56.25,50,-6.25,51.507069,-0.145904
"Danvers Street, West Chelsea",36.75,44,7.25,51.482567,-0.172078
"De Vere Gardens, Kensington",42.5,43,0.5,51.501737,-0.18498
"Denyer Street, Knightsbridge",15.5,16,0.5,51.493583,-0.165101
"Derry Street, Kensington",113.75,102,-11.75,51.501364,-0.191462
"Devons Road, Bow",24.5,26,1.5,51.52512,-0.015578
"Devonshire Square, Liverpool Street",40.75,50,9.25,51.516468,-0.079684
"Devonshire Terrace, Bayswater",52,61,9,51.51348,-0.17977
"Dickens Square, Borough",20.75,24,3.25,51.496791,-0.093913
"Disraeli Road, Putney",22,22,0,51.46161,-0.216145
"Dock Street, Wapping",77.75,73,-4.75,51.509786,-0.068161
"Doddington Grove, Kennington",55.5,53,-2.5,51.486929,-0.102996
"Doric Way , Somers Town",66.5,33,-33.5,51.528833,-0.13225
"Dorothy Road, Clapham Junction",37.5,39,1.5,51.465064,-0.16375
"Dorset Square, Marylebone",62.75,54,-8.75,51.522596,-0.161113
"Drayton Gardens, West Chelsea",92.5,69,-23.5,51.487196,-0.179369
"Driffield Road, Old Ford",45.5,37,-8.5,51.534137,-0.037366
"Drummond Street , Euston",24.75,7,-17.75,51.527326,-0.136052
"Drury Lane, Covent Garden",100.5,77,-23.5,51.51477,-0.122219
"Duke Street Hill, London Bridge",190.25,166,-24.25,51.506304,-0.087262
"Dunston Road , Haggerston",71.5,67,-4.5,51.536585,-0.075885
"Durant Street, Bethnal Green",37.5,37,-0.5,51.528681,-0.06555
"Eagle Wharf Road, Hoxton",91,78,-13,51.53356,-0.09315
"Earnshaw Street , Covent Garden",83.25,65,-18.25,51.516118,-0.128585
"East Ferry Road, Cubitt Town",14.75,19,4.25,51.49447,-0.014409
"East India DLR, Blackwall",34.5,39,4.5,51.509474,-0.002275
"East Road, Hoxton",37.25,38,0.75,51.528673,-0.087459
"East Village, Queen Elizabeth Olympic Park",56.75,52,-4.75,51.546326,-0.009935
"Eastbourne Mews, Paddington",81,50,-31,51.516417,-0.179135
"Eaton Square (South), Belgravia",32,23,-9,51.494561,-0.153933
"Eaton Square, Belgravia",37.5,13,-24.5,51.496544,-0.150905
"Ebury Bridge, Pimlico",37,40,3,51.490491,-0.149186
"Eccleston Place, Victoria",116.25,90,-26.25,51.49395,-0.147624
"Edgware Road Station, Marylebone",49,25,-24,51.519968,-0.169774
"Eel Brook Common, Walham Green",35.5,25,-10.5,51.476259,-0.193254
"Elizabeth Bridge, Victoria",61.75,76,14.25,51.492369,-0.147478
"Elysium Place, Fulham",20.75,27,6.25,51.471079,-0.207842
"Embankment (Savoy), Strand",54.75,33,-21.75,51.509631,-0.119047
"Emperor's Gate, South Kensington",46.5,50,3.5,51.495362,-0.185296
"Empire Square, The Borough",66.25,51,-15.25,51.500823,-0.08974
"Endsleigh Gardens, Euston",75,36,-39,51.526838,-0.130504
"Erin Close, Walham Green",63.75,45,-18.75,51.479463,-0.195777
