StartStation Name,Average Count,Count,Count Change,Latitude,Longitude
"Coram Street, Bloomsbury",41.5,31,-10.5,51.524,-0.126409
"Cotton Garden Estate, Kennington",34.25,42,7.75,51.490757,-0.106323
"Courland Grove, Wandsworth Road",44.25,32,-12.25,51.472918,-0.132102
"Crabtree Lane, Fulham",30,28,-2,51.482944,-0.219346
"Craven Street, Strand",138,94,-44,51.508103,-0.126021
"Crawford Street, Marylebone",66.25,68,1.75,51.52026,-0.157183
"Crinan Street, King's Cross",27.25,13,-14.25,51.534474,-0.122203
"Crisp Road, Hammersmith",53.5,34,-19.5,51.488108,-0.226606
"Cromer Street, Bloomsbury",26.25,14,-12.25,51.528279,-0.119558
"Crosswall, Tower",150.75,105,-45.75,51.511594,-0.077121
"Culvert Road, Battersea",23.75,23,-0.75,51.471095,-0.15785
"Curlew Street, Shad Thames",74.25,46,-28.25,51.502279,-0.074189
"Curzon Street, Mayfair",42.25,36,-6.25,51.507069,-0.145904
"Danvers Street, West Chelsea",38.25,37,-1.25,51.482567,-0.172078
"De Vere Gardens, Kensington",51.75,28,-23.75,51.501737,-0.18498
"Denyer Street, Knightsbridge",15,16,1,51.493583,-0.165101
"Derry Street, Kensington",104.5,103,-1.5,51.501364,-0.191462
"Devons Road, Bow",27.75,24,-3.75,51.52512,-0.015578
"Devonshire Square, Liverpool Street",38,43,5,51.516468,-0.079684
"Devonshire Terrace, Bayswater",62,75,13,51.51348,-0.17977
"Dickens Square, Borough",23,24,1,51.496791,-0.093913
"Disraeli Road, Putney",23,22,-1,51.46161,-0.216145
"Dock Street, Wapping",74.5,73,-1.5,51.509786,-0.068161
"Doddington Grove, Kennington",52.25,42,-10.25,51.486929,-0.102996
"Doric Way , Somers Town",85.5,44,-41.5,51.528833,-0.13225
"Dorothy Road, Clapham Junction",38.75,48,9.25,51.465064,-0.16375
"Dorset Square, Marylebone",63.75,47,-16.75,51.522596,-0.161113
"Drayton Gardens, West Chelsea",89,78,-11,51.487196,-0.179369
"Driffield Road, Old Ford",46.75,31,-15.75,51.534137,-0.037366
"Drummond Street , Euston",33.5,26,-7.5,51.527326,-0.136052
"Drury Lane, Covent Garden",101.75,78,-23.75,51.51477,-0.122219
"Duke Street Hill, London Bridge",188,151,-37,51.506304,-0.087262
"Dunston Road , Haggerston",72.25,83,10.75,51.536585,-0.075885
"Durant Street, Bethnal Green",42,36,-6,51.528681,-0.06555
"Eagle Wharf Road, Hoxton",98.25,86,-12.25,51.53356,-0.09315
"Earnshaw Street , Covent Garden",83,65,-18,51.516118,-0.128585
"East Ferry Road, Cubitt Town",14.75,17,2.25,51.49447,-0.014409
"East India DLR, Blackwall",24.5,28,3.5,51.509474,-0.002275
"East Road, Hoxton",44.5,41,-3.5,51.528673,-0.087459
